id,title,description,availability,condition,price,link,image_link,brand,additional_image_link,sale_price,google_product_category
26249,"Batik Prints-6181217","It is habutai Silk fabric, It has batik prints, It has smooth and silky texture. It is Commonly used in making dresses, silk scarves, and other dresses.","in stock",new,"930 INR",https://www.hpsingh.com/product/batik-prints-6181217,https://www.hpsingh.com/img/image_placeholder.png,"HP Singh",,,Prints
26250,"Batik Prints-167613","It is habutai Silk fabric, It has batik prints, It has smooth and silky texture. It is Commonly used in making dresses, silk scarves, and other dresses.","in stock",new,"1750 INR",https://www.hpsingh.com/product/batik-prints-167613,https://www.hpsingh.com/img/image_placeholder.png,"HP Singh",,,Prints
26251,"Batik Prints-11871116","It is habutai Silk fabric, It has batik prints, It has smooth and silky texture. It is Commonly used in making dresses, silk scarves, and other dresses.","in stock",new,"1400 INR",https://www.hpsingh.com/product/batik-prints-11871116,https://www.hpsingh.com/media/11871116-(2).jpg,"HP Singh","https://www.hpsingh.com/media/11871116-(3).jpg,https://www.hpsingh.com/media/11871116-(4).jpg",,Prints
26252,"Batik Prints-167612","It is habutai Silk fabric, It has batik prints, It has smooth and silky texture. It is Commonly used in making dresses, silk scarves, and other dresses.","in stock",new,"1670 INR",https://www.hpsingh.com/product/batik-prints-167612,https://www.hpsingh.com/img/image_placeholder.png,"HP Singh",,,Prints
26253,Wool-169625-B,"It is Woollen Fabric made from 100% Wool, It is warm fabric, Commonly used in winter season. It is commonly used for making coats, jackets, blankets etc.","in stock",new,"960 INR",https://www.hpsingh.com/product/wool-169625-b,https://www.hpsingh.com/img/image_placeholder.png,"HP Singh",,,Prints
26254,Wool-169625-D,"It is Woollen Fabric made from 100% Wool, It is warm fabric, Commonly used in winter season. It is commonly used for making coats, jackets, blankets etc.","in stock",new,"960 INR",https://www.hpsingh.com/product/wool-169625-d,https://www.hpsingh.com/img/image_placeholder.png,"HP Singh",,,Prints
26255,Wool-169625-E,"It is Woollen Fabric made from 100% Wool, It is warm fabric, Commonly used in winter season. It is commonly used for making coats, jackets, blankets etc.","in stock",new,"960 INR",https://www.hpsingh.com/product/wool-169625-e,https://www.hpsingh.com/img/image_placeholder.png,"HP Singh",,,Prints
26256,Wool-6169117,"It is Woollen Jacquard fabric, In this fabric pattern is directly woven in fabric. It is made of 100% Wool. It is warm fabric and used for making Stoles and Shawls","in stock",new,"720 INR",https://www.hpsingh.com/product/wool-6169117,https://www.hpsingh.com/img/image_placeholder.png,"HP Singh",,,Prints
26257,"Wool Texture-93918","It is woollen texture fabric, made from 100 % Wool, It has soft texture and design pattern is woven in the fabric. It is used for making stoles, sweaters etc.","in stock",new,"630 INR",https://www.hpsingh.com/product/wool-texture-93918,https://www.hpsingh.com/img/image_placeholder.png,"HP Singh",,,Prints
26258,Furr-1159616,"Polyester fur, also called fun fur or faux fur, is any material made of synthetic fibers designed to resemble fur, normally as part of a piece of clothing. Fur is one of the oldest forms of clothing. People worn fur as it is luxurious and warm.","in stock",new,"2160 INR",https://www.hpsingh.com/product/furr-1159616,https://www.hpsingh.com/img/image_placeholder.png,"HP Singh",,,Prints
