name,fabric_name,weave,width,weight_feel_suitability,content,design_name_color,shipping_weight,design_no,price_text,ragular_price,categories,short_description,long_description,images,tags,manage_stock,stock,status
Yarndyed Cotton Stripes-623219-1,Yarndyed Cotton Stripes,Plain ,44 Inches ,"Lightweight & Soft/ Suitable for shirts, dresses, skirts, tops, kurti, palazzo, one piece and more.",100% Cotton ,Multicolour ,0.2,623219-1,180 Per Meter ,180,cotton>yarn-dyeds-checks-and-stripes | latest-fabrics | treding-fabrics | spring-summer,"Cotton yarndyed stripe fabric is suitable for making dresses, skirts, shirts, tops, kurti, western wear, home furnishing etc.","Cotton yarndyed stripe fabric is a cotton base plain weave fabric. Yarn-dyed fabric means the thread (or yarn) has been dyed first, before weaving. This fabric is suitable for making dresses, skirts etc.","623219-1-(4).jpg, 623219-1-(2).jpg, 623219-1-(3).jpg","cotton yarndyed stripes, yarndyed cotton stripes, stripes, cotton yarndyed fabric, yarndyed fabric, yarndyed, cotton, fabric for shirts, fabric for tops, fabric for skirts, fabric for dresses, fabric for kurtas, fabric for kurtis, shirting fabric, shirt fabric, lines, stripe, fabric for pajams, fabric for night wear, fabric for kids wear, 623219-1 ",no ,in_stock,Published
Yarndyed Cotton Stripes-623219-2,Yarndyed Cotton Stripes,Plain ,44 Inches ,"Lightweight & Soft/ Suitable for shirts, dresses, skirts, tops, kurti, palazzo, one piece and more.",100% Cotton ,Multicolour ,0.2,623219-2,180 Per Meter ,180,cotton>yarn-dyeds-checks-and-stripes | latest-fabrics | treding-fabrics | spring-summer,"Cotton yarndyed stripe fabric is suitable for making dresses, skirts, shirts, tops, kurti, western wear, home furnishing etc.","Cotton yarndyed stripe fabric is a cotton base plain weave fabric. Yarn-dyed fabric means the thread (or yarn) has been dyed first, before weaving. This fabric is suitable for making dresses, skirts etc.","623219-2-(4).jpg, 623219-2-(2).jpg, 623219-2-(3).jpg","cotton yarndyed stripes, yarndyed cotton stripes, stripes, cotton yarndyed fabric, yarndyed fabric, yarndyed, cotton, fabric for shirts, fabric for tops, fabric for skirts, fabric for dresses, fabric for kurtas, fabric for kurtis, shirting fabric, shirt fabric, lines, stripe, fabric for pajams, fabric for night wear, fabric for kids wear, 623219-2 ",no ,in_stock,Published
Yarndyed Cotton Stripes-2333120,Yarndyed Cotton Stripes,Plain ,44 Inches ,"Lightweight & Soft/ Suitable for shirts, dresses, skirts, tops, kurti, palazzo, one piece and more.",100% Cotton ,Multicolour ,0.2,2333120,190 Per Meter ,190,cotton>yarn-dyeds-checks-and-stripes | latest-fabrics | treding-fabrics | spring-summer,"Cotton yarndyed stripe fabric is suitable for making dresses, skirts, shirts, tops, kurti, western wear, home furnishing etc.","Cotton yarndyed stripe fabric is a cotton base plain weave fabric. Yarn-dyed fabric means the thread (or yarn) has been dyed first, before weaving. This fabric is suitable for making dresses, skirts etc.","2333120-(4).jpg, 2333120-(2).jpg, 2333120-(3).jpg","cotton yarndyed stripes, yarndyed cotton stripes, stripes, cotton yarndyed fabric, yarndyed fabric, yarndyed, cotton, fabric for shirts, fabric for tops, fabric for skirts, fabric for dresses, fabric for kurtas, fabric for kurtis, shirting fabric, shirt fabric, lines, stripe, fabric for pajams, fabric for night wear, fabric for kids wear, 2333120 ",no ,in_stock,Published
Printed Cotton Cambric-4556719,Cotton Cambric ,Plain ,44 Inches ,"Lightweight/ Soft Feel/ Used for making suits, kurta, dresses, skirts, tops, blouses, kaftan, palazzo etc.",100% Cotton ,Indigo Prints ,0.2,4556719,190 Per Meter ,190,cotton>prints-cotton | prints>cotton-prints | latest-fabrics | spring-summer,"Printed cotton cambric is suitable for making dresses, skirts, tops, kurti, kaftan, palazzo, blouses, tunics, kids wear and more.","Printed cotton cambric is a plain weave cotton based fabric. One of the finest and most dense kinds of cloth, is a lightweight plain-weave cloth, known as batiste. It is used for making dresses and household items.","4556719-(4).jpg, 4556719-(2).jpg, 4556719-(3).jpg","printed cotton cambric, cotton cambric prints, printed cotton, cotton cambric, coton prints, cotton, cambric prints, fabric for kurtis, fabric for suits, fabric for kurtas, fabric for shirts, fabric for tops, fabric for skirts, fabric for dresses, fabric for cushion covers, fabric for palazzos, fabric for kids wear, fabric for blouses,  4556719",no ,in_stock,Published
Printed Cotton Cambric-623219-3,Cotton Cambric ,Plain ,44 Inches ,"Lightweight/ Soft Feel/ Used for making suits, kurta, dresses, skirts, tops, blouses, kaftan, palazzo etc.",100% Cotton ,Multicolour ,0.2,623219-3,180 Per Meter ,180,cotton>prints-cotton | prints>cotton-prints | latest-fabrics | spring-summer,"Printed cotton cambric is suitable for making dresses, skirts, tops, kurti, kaftan, palazzo, blouses, tunics, kids wear and more.","Printed cotton cambric is a plain weave cotton based fabric. One of the finest and most dense kinds of cloth, is a lightweight plain-weave cloth, known as batiste. It is used for making dresses and household items.","623219-3-(4).jpg, 623219-3-(2).jpg, 623219-3-(3).jpg","printed cotton cambric, cotton cambric prints, printed cotton, cotton cambric, coton prints, cotton, cambric prints, fabric for kurtis, fabric for suits, fabric for kurtas, fabric for shirts, fabric for tops, fabric for skirts, fabric for dresses, fabric for cushion covers, fabric for blouses, fabric for palazzos, fabric for kids wear, 623219-3",no ,in_stock,Published
Printed Cotton Voile-2294219,Cotton Voile ,Plain ,44 Inches ,"Lightweight & semi sheer/ Suitable for making dresses, tops, kurti, blouses, scarves and more.",100% Cotton ,Off White ,0.2,2294219,200 Per Meter ,200,cotton>prints-cotton | prints>cotton-prints | latest-fabrics | spring-summer,"Printed cotton voile fabric is suitable for making dresses, skirts, tops, kurti, blouses, kaftan, scarves, kids wear and more.","Printed cotton voile fabric is a plain weave cotton based fabric. Cotton Voile is known for its light weight, the fabric is mostly used in soft furnishing designing dresses. Commly used for making or designing dresses.","2294219-(4).jpg, 2294219-(2).jpg, 2294219-(3).jpg","printed cotton voile, cotton voile prints, printed cotton, cotton voile, coton prints, cotton, voile prints, fabric for kurtis, fabric for suits, fabric for kurtas, fabric for shirts, fabric for tops, fabric for skirts, fabric for dresses, fabric for cushion covers, fabric for palazzos, fabric for kids wear, fabric for scarves, afbric for blouses, 2294219",no ,in_stock,Published
Printed Cotton Voile-2294119,Cotton Voile ,Plain ,44 Inches ,"Lightweight & semi sheer/ Suitable for making dresses, tops, kurti, blouses, scarves and more.",100% Cotton ,Off White ,0.2,2294119,200 Per Meter ,200,cotton>prints-cotton | prints>cotton-prints | latest-fabrics | spring-summer,"Printed cotton voile fabric is suitable for making dresses, skirts, tops, kurti, blouses, kaftan, scarves, kids wear and more.","Printed cotton voile fabric is a plain weave cotton based fabric. Cotton Voile is known for its light weight, the fabric is mostly used in soft furnishing designing dresses. Commly used for making or designing dresses.","2294119-(4).jpg, 2294119-(2).jpg, 2294119-(3).jpg","printed cotton voile, cotton voile prints, printed cotton, cotton voile, coton prints, cotton, voile prints, fabric for kurtis, fabric for suits, fabric for kurtas, fabric for shirts, fabric for tops, fabric for skirts, fabric for dresses, fabric for cushion covers, fabric for palazzos, fabric for kids wear, fabric for scarves, afbric for blouses, 2294119",no ,in_stock,Published
Printed Cotton Voile-2294619,Cotton Voile ,Plain ,44 Inches ,"Lightweight & semi sheer/ Suitable for making dresses, tops, kurti, blouses, scarves and more.",100% Cotton ,Off White ,0.2,2294619,200 Per Meter ,200,cotton>prints-cotton | prints>cotton-prints | latest-fabrics | spring-summer,"Printed cotton voile fabric is suitable for making dresses, skirts, tops, kurti, blouses, kaftan, scarves, kids wear and more.","Printed cotton voile fabric is a plain weave cotton based fabric. Cotton Voile is known for its light weight, the fabric is mostly used in soft furnishing designing dresses. Commly used for making or designing dresses.","2294619-(4).jpg, 2294619-(2).jpg, 2294619-(3).jpg","printed cotton voile, cotton voile prints, printed cotton, cotton voile, coton prints, cotton, voile prints, fabric for kurtis, fabric for suits, fabric for kurtas, fabric for shirts, fabric for tops, fabric for skirts, fabric for dresses, fabric for cushion covers, fabric for palazzos, fabric for kids wear, fabric for scarves, afbric for blouses, 2294619",no ,in_stock,Published
Printed Cotton Voile-2293519,Cotton Voile ,Plain ,44 Inches ,"Lightweight & semi sheer/ Suitable for making dresses, tops, kurti, blouses, scarves and more.",100% Cotton ,Off White ,0.2,2293519,200 Per Meter ,200,cotton>prints-cotton | prints>cotton-prints | latest-fabrics | spring-summer,"Printed cotton voile fabric is suitable for making dresses, skirts, tops, kurti, blouses, kaftan, scarves, kids wear and more.","Printed cotton voile fabric is a plain weave cotton based fabric. Cotton Voile is known for its light weight, the fabric is mostly used in soft furnishing designing dresses. Commly used for making or designing dresses.","2293519-(4).jpg, 2293519-(2).jpg, 2293519-(3).jpg","printed cotton voile, cotton voile prints, printed cotton, cotton voile, coton prints, cotton, voile prints, fabric for kurtis, fabric for suits, fabric for kurtas, fabric for shirts, fabric for tops, fabric for skirts, fabric for dresses, fabric for cushion covers, fabric for palazzos, fabric for kids wear, fabric for scarves, afbric for blouses, 2293519",no ,in_stock,Published
Printed Cotton Voile-2294319,Cotton Voile ,Plain ,44 Inches ,"Lightweight & semi sheer/ Suitable for making dresses, tops, kurti, blouses, scarves and more.",100% Cotton ,Off White ,0.2,2294319,200 Per Meter ,200,cotton>prints-cotton | prints>cotton-prints | latest-fabrics | spring-summer,"Printed cotton voile fabric is suitable for making dresses, skirts, tops, kurti, blouses, kaftan, scarves, kids wear and more.","Printed cotton voile fabric is a plain weave cotton based fabric. Cotton Voile is known for its light weight, the fabric is mostly used in soft furnishing designing dresses. Commly used for making or designing dresses.","2294319-(4).jpg, 2294319-(2).jpg, 2294319-(3).jpg","printed cotton voile, cotton voile prints, printed cotton, cotton voile, coton prints, cotton, voile prints, fabric for kurtis, fabric for suits, fabric for kurtas, fabric for shirts, fabric for tops, fabric for skirts, fabric for dresses, fabric for cushion covers, fabric for palazzos, fabric for kids wear, fabric for scarves, afbric for blouses, 2294319",no ,in_stock,Published
