name,fabric_name,weave,width,weight_feel_suitability,content,design_name_color,shipping_weight,design_no,price_text,ragular_price,categories,short_description,long_description,images,tags,manage_stock,stock,status
Cotton Jacquard Lurex Fabric-4883219,Cotton Jacquard Lurex Fabric ,Jacquard ,46 Inches ,"Heavy weight jacquard & soft/ Used for making jackets, bags, shoes, nehru jackets, band gala & used for making jackets.",95% Cotton 5% Lurex ,Offwhite & Grey ,0.2,4883219,500 Per Meter ,500,cotton>dobby-and-jacquard | latest-fabrics | trending-fabrics | autumn-winter,"Heavy cotton jacquard fabric, suitable for making dresses, jackets, bags, band gala, nehru jackets and used for home furnishing.","Heavy cotton jacquard fabric is a cotton base heavy jacquard fabric. Jacquard weave is a highly textured fabric with patterns that are woven, rather than printed into the fabric. Jacquard Fabrics have a raised pattern design.","4883219-(4).jpg, 4883219-(2).jpg, 4883219-(3).jpg","cotton jacquard lurex fabric, cotton jacquard fabric, cotton jacquard, jacquard, cotton, fabric for sofa covers, fabric for cushion covers, fabric for furnishing, fabric for home furnishing,  fabric for jackets, fabric for bags, fabric for band gala, fabric for coats, fabric for nehru jackets, heavy weight fabric  lurex fabric, lurex, 4883219",no ,in_stock,Published
Cotton Jacquard Fabric-4195618,Cotton Jacquard Fabric ,Jacquard ,46 Inches ,"Heavy weight jacquard & soft/ Used for making jackets, bags, shoes, nehru jackets, band gala & used for making jackets.",100% Cotton ,Offwhite & Maroon,0.2,4195618,500 Per Meter ,500,cotton>dobby-and-jacquard | latest-fabrics | trending-fabrics | autumn-winter,"Heavy cotton jacquard fabric, suitable for making dresses, jackets, bags, band gala, nehru jackets and used for home furnishing.","Heavy cotton jacquard fabric is a cotton base heavy jacquard fabric. Jacquard weave is a highly textured fabric with patterns that are woven, rather than printed into the fabric. Jacquard Fabrics have a raised pattern design.","4195618-(4).jpg, 4195618-(2).jpg, 4195618-(3).jpg","cotton jacquard fabric, cotton jacquard fabric, cotton jacquard, jacquard, cotton, fabric for sofa covers, fabric for cushion covers, fabric for furnishing, fabric for home furnishing,  fabric for jackets, fabric for bags, fabric for band gala, fabric for coats, fabric for nehru jackets, heavy weight fabric, 4195618",no ,in_stock,Published
Cotton Patchwork Jacquard-4800920,Cotton Patchwork Jacquard ,Jacquard ,44 Inches ,"Medium weight fabric/ Suitable for making jackets, bags, sofa covers, cushion covers and more.",100% Cotton ,Multicolour,0.2,4800920,770 Per Meter ,770,cotton>dobby-and-jacquard | latest-fabrics | trending-fabrics | autumn-winter,"Cotton patchwork jacquard fabric is suitable for making dresses, jackets, bags, sofa covers, curtains and used for home furnishing.","Cotton patchwork jacquard fabric is a cotton based jacquard weave fabric. Jacquard weave is a highly textured fabric with patterns that are woven, rather than printed into the fabric. Jacquard Fabrics have a raised pattern design.","4800920-(4).jpg, 4800920-(2).jpg, 4800920-(3).jpg","cotton jacquard fabric, cotton jacquard fabric, cotton jacquard, jacquard, cotton, fabric for sofa covers, fabric for cushion covers, fabric for furnishing, fabric for home furnishing,  fabric for jackets, fabric for bags, fabric for band gala, fabric for coats, fabric for nehru jackets, heavy weight fabric, 4800920 , cotton patchwork jacquard, cotton patchwork, jacquard patchwork, patchwork",no ,in_stock,Published
Cotton Patchwork Jacquard-4800720,Cotton Patchwork Jacquard ,Jacquard ,44 Inches ,"Medium weight fabric/ Suitable for making jackets, bags, sofa covers, cushion covers and more.",100% Cotton ,Multicolour,0.2,4800720,770 Per Meter ,770,cotton>dobby-and-jacquard | latest-fabrics | trending-fabrics | autumn-winter,"Cotton patchwork jacquard fabric is suitable for making dresses, jackets, bags, sofa covers, curtains and used for home furnishing.","Cotton patchwork jacquard fabric is a cotton based jacquard weave fabric. Jacquard weave is a highly textured fabric with patterns that are woven, rather than printed into the fabric. Jacquard Fabrics have a raised pattern design.","4800720-(4).jpg, 4800720-(2).jpg, 4800720-(3).jpg","cotton jacquard fabric, cotton jacquard fabric, cotton jacquard, jacquard, cotton, fabric for sofa covers, fabric for cushion covers, fabric for furnishing, fabric for home furnishing,  fabric for jackets, fabric for bags, fabric for band gala, fabric for coats, fabric for nehru jackets, heavy weight fabric, 4800720 , cotton patchwork jacquard, cotton patchwork, jacquard patchwork, patchwork",no ,in_stock,Published
Cotton Cut Work Jacquard-4786820,Cotton Cut Work Jacquard ,Jacquard ,48 Inches ,"Lightweight Fabric/ Suitable for making curtains, jackets, bags, rugs and used for home furnishing.",100% Cotton ,Offwhite & Blue ,0.2,4786820,340 Per Meter ,340,cotton>dobby-and-jacquard | latest-fabrics | trending-fabrics | autumn-winter,"Cotton cut work jacquard fabric is commonly used for making jackets, curtains, bags, sofa covers, rugs and for other home furnishing items.","Cotton cut work jacquard fabric is a cotton based jacquard design fabric. Jacquard weave is a highly textured fabric with patterns that are woven, rather than printed into the fabric. Jacquard Fabrics have a raised pattern design.","4786820-(4).jpg, 4786820-(2).jpg, 4786820-(3).jpg","cotton jacquard fabric, cotton jacquard fabric, cotton jacquard, jacquard, cotton, fabric for sofa covers, fabric for cushion covers, fabric for furnishing, fabric for home furnishing,  fabric for jackets, fabric for bags, fabric for band gala, fabric for coats, fabric for nehru jackets, heavy weight fabric, 4786820 , Cotton Cutwork Jacquard, cutwork jacquard, cotton Cut Work Jacquard, cutwork fabric",no ,in_stock,Published
Cotton Jacquard Fabric-4316117,Cotton Jacquard Fabric ,Jacquard ,48 Inches ,"Heavy weight jacquard & soft/ Used for making jackets, bags, shoes, nehru jackets, band gala & used for making jackets.",100% Cotton ,Offwhite & Black ,0.2,4316117,500 Per Meter ,500,cotton>dobby-and-jacquard | latest-fabrics | trending-fabrics | autumn-winter,"Heavy cotton jacquard fabric, suitable for making dresses, jackets, bags, band gala, nehru jackets and used for home furnishing.","Heavy cotton jacquard fabric is a cotton base heavy jacquard fabric. Jacquard weave is a highly textured fabric with patterns that are woven, rather than printed into the fabric. Jacquard Fabrics have a raised pattern design.","4316117-(4).jpg, 4316117-(2).jpg, 4316117-(3).jpg","cotton jacquard fabric, cotton jacquard fabric, cotton jacquard, jacquard, cotton, fabric for sofa covers, fabric for cushion covers, fabric for furnishing, fabric for home furnishing,  fabric for jackets, fabric for bags, fabric for band gala, fabric for coats, fabric for nehru jackets, heavy weight fabric, 4316117",no ,in_stock,Published
Cotton Jacquard Fabric-1611329,Cotton Jacquard Fabric ,Jacquard ,36 Inches ,"Heavy weight jacquard & soft/ Used for making jackets, bags, shoes, nehru jackets, band gala & used for making jackets.",100% Cotton ,Multicolour,0.2,1611329,360 Per Meter ,360,cotton>dobby-and-jacquard | latest-fabrics | trending-fabrics | autumn-winter,"Heavy cotton jacquard fabric, suitable for making dresses, jackets, bags, band gala, nehru jackets and used for home furnishing.","Heavy cotton jacquard fabric is a cotton base heavy jacquard fabric. Jacquard weave is a highly textured fabric with patterns that are woven, rather than printed into the fabric. Jacquard Fabrics have a raised pattern design.","1611329-(4).jpg, 1611329-(2).jpg, 1611329-(3).jpg","cotton jacquard fabric, cotton jacquard fabric, cotton jacquard, jacquard, cotton, fabric for sofa covers, fabric for cushion covers, fabric for furnishing, fabric for home furnishing,  fabric for jackets, fabric for bags, fabric for band gala, fabric for coats, fabric for nehru jackets, heavy weight fabric, 1611329",no ,in_stock,Published
Cotton Cut Work Jacquard-1611667,Cotton Cut Work Jacquard ,Jacquard ,48 Inches ,"Lightweight Fabric/ Suitable for making jackets, bags, rugs and used for home furnishing.",100% Cotton ,Offwhite & Maroon,0.2,1611667,280 Per Meter ,280,cotton>dobby-and-jacquard | latest-fabrics | trending-fabrics | autumn-winter,"Cotton cut work jacquard fabric is commonly used for making jackets, curtains, bags, sofa covers, rugs and for other home furnishing items.","Cotton cut work jacquard fabric is a cotton based jacquard design fabric. Jacquard weave is a highly textured fabric with patterns that are woven, rather than printed into the fabric. Jacquard Fabrics have a raised pattern design.","1611667-(4).jpg, 1611667-(2).jpg, 1611667-(3).jpg","cotton jacquard fabric, cotton jacquard fabric, cotton jacquard, jacquard, cotton, fabric for sofa covers, fabric for cushion covers, fabric for furnishing, fabric for home furnishing,  fabric for jackets, fabric for bags, fabric for band gala, fabric for coats, fabric for nehru jackets, heavy weight fabric, 1611667 , Cotton Cutwork Jacquard, cutwork jacquard, cotton Cut Work Jacquard, cutwork fabric",no ,in_stock,Published
Cotton Jacquard Fabric-4340318,Cotton Jacquard Fabric ,Jacquard ,36 Inches ,"Heavy weight jacquard & soft/ Used for making jackets, bags, shoes, nehru jackets, band gala & used for making jackets.",100% Cotton ,Black & White ,0.2,4340318,500 Per Meter ,500,cotton>dobby-and-jacquard | latest-fabrics | trending-fabrics | autumn-winter,"Heavy cotton jacquard fabric, suitable for making dresses, jackets, bags, band gala, nehru jackets and used for home furnishing.","Heavy cotton jacquard fabric is a cotton base heavy jacquard fabric. Jacquard weave is a highly textured fabric with patterns that are woven, rather than printed into the fabric. Jacquard Fabrics have a raised pattern design.","4340318-(4).jpg, 4340318-(2).jpg, 4340318-(3).jpg","cotton jacquard fabric, cotton jacquard fabric, cotton jacquard, jacquard, cotton, fabric for sofa covers, fabric for cushion covers, fabric for furnishing, fabric for home furnishing,  fabric for jackets, fabric for bags, fabric for band gala, fabric for coats, fabric for nehru jackets, heavy weight fabric, 4340318",no ,in_stock,Published
Cotton Jacquard Fabric-4145420,Cotton Jacquard Fabric ,Jacquard ,36 Inches ,"Heavy weight jacquard & soft/ Used for making jackets, bags, shoes, nehru jackets, band gala & used for making jackets.",100% Cotton ,Offwhite & Maroon,0.2,4145420,500 Per Meter ,500,cotton>dobby-and-jacquard | latest-fabrics | trending-fabrics | autumn-winter,"Heavy cotton jacquard fabric, suitable for making dresses, jackets, bags, band gala, nehru jackets and used for home furnishing.","Heavy cotton jacquard fabric is a cotton base heavy jacquard fabric. Jacquard weave is a highly textured fabric with patterns that are woven, rather than printed into the fabric. Jacquard Fabrics have a raised pattern design.","4145420-(4).jpg, 4145420-(2).jpg, 4145420-(3).jpg","cotton jacquard fabric, cotton jacquard fabric, cotton jacquard, jacquard, cotton, fabric for sofa covers, fabric for cushion covers, fabric for furnishing, fabric for home furnishing,  fabric for jackets, fabric for bags, fabric for band gala, fabric for coats, fabric for nehru jackets, heavy weight fabric, 4145420 , zigzag pattern, zigzag",no ,in_stock,Published
