name,fabric_name,weave,width,weight_feel_suitability,content,design_name_color,shipping_weight,design_no,price_text,ragular_price,categories,short_description,long_description,images,tags,manage_stock,stock,status
Plain Spun Fabric-4756920,Spun Fabic ,Twill,44 Inches,"Medium Thickness fabric/ Suitable for making dresses, skirts, tops, palazzo, blouses, suits, stoles and more.",100% Polyester ,Green ,0.2,4756920,570 Per Meter ,570,polyester-fabrics>solids | latest-fabrics | autumn-winter | trending-fabrics,"Plain spun fabric is suitable for making dresses, skirts, tops, kurti, suits, blouses, palazzo, kaftan, shirts, winter dresses and more.","Plain spun fabric is a polyester base twill weave. Spun Poly or otherwise known as Spun Polyester is made by spinning 100% polyester fibers into yarns. Spun poly is guaranteed to last twice, does not require ironing, does not shrink, has greater wash-ability, has color-fast material that doesn't stain and Looks, breathes, and feels better.","4756920-(4).jpg, 4756920-(2).jpg, 4756920-(3).jpg","plain spun fabric, spun fabric, spun, fabric for winters, poly spun, fabric for kurtis, fabric for kurtas, fabric for tops, fabric for skirts, fabric for dresses, fabric for trousers, fabric for pants, fabric for ladies pant, fabric for winter kurtas, fabric for bottom , fabric for winter dresses, fabric for kaftans, fabric for shirts, fabric for palazzo, green, 4756920",no ,in_stock,published 
Printed Georgette Satin-6536317,Georgette Satin ,Satin ,42 Inches,"Lightweight & semi sheer/ suitable for making sarees, suits, kurti, dupatta, stoles, kaftan, tops and more.",100% Polyester ,Multicolour ,0.2,6536317,300 Per Meter ,300,polyester-fabrics>prints | prints>poly-prints | latest-fabrics | spring-summer,"Printed georgette satin fabric is suitable for making saree, suits, dresses, flowy gowns, kaftan, tops, skirts, stoles, palazzo and more.","Printed Georgette satin fabric is a satin weave one side georgette fabric. Satin Georgette, a heavier type of georgette constructed in a satin weave. It is fluid and has a lovely sheen. This fabric is suitable for making dresses.","6536317-(4).jpg, 6536317-(2).jpg, 6536317-(3).jpg, 6536317-(5).jpg","printed georgette satin fabric, georgette satin, georgette satin prints, printed georgette, georgette prints, printed fabric, fabric for kurtis, fabric for tops, fabric for sarees, fabric for tops, fabric for dupattas, fabric for kaftans, fabric for palazzo, fabric for skirts, fabric for dresses, fabric for gowns, 6536317",no ,in_stock,published 
Printed Spun-4756520,Printed Spun ,Twill ,44 Inches,"Medium Weight/ Used for making dresses, suits, skirts, blouses, tops, kurtis, kaftan, palazzo, suits and more.",100% Polyester ,Multicolour ,0.2,4756520,570 Per Meter ,570,polyester-fabrics>prints | latest-fabrics | autumn-winter | trending-fabrics | prints>poly-prints,"Printed Spun fabric is commonly used for making winter suits, kurta, blouses, suits, kurtis, tops, tunics, stoles, scarves, dresses, skirts etc.","Spun Poly or otherwise known as Spun Polyester is made by spinning 100% polyester fibers into yarns. Spun poly is guaranteed to last twice, does not require ironing, does not shrink, has greater wash-ability, has color-fast material that doesn't stain and Looks, breathes, and feels better.","4756520-(4).jpg, 4756520-(2).jpg, 4756520-(3).jpg","printed spun fabric, spun fabric, spun prints, spun, fabric for winters, poly spun, fabric for kurtis, fabric for kurtas, fabric for tops, fabric for skirts, fabric for dresses, fabric for trousers, fabric for pants, fabric for ladies pant, fabric for winter kurtas, fabric for bottom , fabric for winter dresses, fabric for kaftans, fabric for shirts, fabric for palazzo, 4756920 , floral print ",no ,in_stock,published 
Printed Spun-4756320,Printed Spun ,Twill ,44 Inches,"Medium Weight/ Used for making dresses, suits, skirts, blouses, tops, kurtis, kaftan, palazzo, suits and more.",100% Polyester ,Beige ,0.2,4756320,570 Per Meter ,570,polyester-fabrics>prints | latest-fabrics | autumn-winter | trending-fabrics | prints>poly-prints,"Printed Spun fabric is commonly used for making winter suits, kurta, blouses, suits, kurtis, tops, tunics, stoles, scarves, dresses, skirts etc.","Spun Poly or otherwise known as Spun Polyester is made by spinning 100% polyester fibers into yarns. Spun poly is guaranteed to last twice, does not require ironing, does not shrink, has greater wash-ability, has color-fast material that doesn't stain and Looks, breathes, and feels better.","4756320-(4).jpg, 4756320-(2).jpg, 4756320-(3).jpg","printed spun fabric, spun fabric, spun prints, spun, fabric for winters, poly spun, fabric for kurtis, fabric for kurtas, fabric for tops, fabric for skirts, fabric for dresses, fabric for trousers, fabric for pants, fabric for ladies pant, fabric for winter kurtas, fabric for bottom , fabric for winter dresses, fabric for kaftans, fabric for shirts, fabric for palazzo, 4756320 , floral print , beige ",no ,in_stock,published 
Plain Spun Fabric-4756720,Spun Fabic ,Twill,44 Inches,"Medium Thickness fabric/ Suitable for making dresses, skirts, tops, palazzo, blouses, suits, stoles and more.",100% Polyester ,Light Pink ,0.2,4756720,570 Per Meter ,570,polyester-fabrics>solids | latest-fabrics | autumn-winter | trending-fabrics,"Plain spun fabric is suitable for making dresses, skirts, tops, kurti, suits, blouses, palazzo, kaftan, shirts, winter dresses and more.","Plain spun fabric is a polyester base twill weave. Spun Poly or otherwise known as Spun Polyester is made by spinning 100% polyester fibers into yarns. Spun poly is guaranteed to last twice, does not require ironing, does not shrink, has greater wash-ability, has color-fast material that doesn't stain and Looks, breathes, and feels better.","4756720-(4).jpg, 4756720-(2).jpg, 4756720-(3).jpg","plain spun fabric, spun fabric, spun, fabric for winters, poly spun, fabric for kurtis, fabric for kurtas, fabric for tops, fabric for skirts, fabric for dresses, fabric for trousers, fabric for pants, fabric for ladies pant, fabric for winter kurtas, fabric for bottom , fabric for winter dresses, fabric for kaftans, fabric for shirts, fabric for palazzo, 4756720 , light pink ",no ,in_stock,published 
Printed Spun-4765720,Printed Spun ,Twill ,44 Inches,"Medium Weight/ Used for making dresses, suits, skirts, blouses, tops, kurtis, kaftan, palazzo, suits and more.",100% Polyester ,Multicolour ,0.2,4765720,570 Per Meter ,570,polyester-fabrics>prints | latest-fabrics | autumn-winter | trending-fabrics | prints>poly-prints,"Printed Spun fabric is commonly used for making winter suits, kurta, blouses, suits, kurtis, tops, tunics, stoles, scarves, dresses, skirts etc.","Spun Poly or otherwise known as Spun Polyester is made by spinning 100% polyester fibers into yarns. Spun poly is guaranteed to last twice, does not require ironing, does not shrink, has greater wash-ability, has color-fast material that doesn't stain and Looks, breathes, and feels better.","4765720-(4).jpg, 4765720-(2).jpg, 4765720-(3).jpg","printed spun fabric, spun fabric, spun prints, spun, fabric for winters, poly spun, fabric for kurtis, fabric for kurtas, fabric for tops, fabric for skirts, fabric for dresses, fabric for trousers, fabric for pants, fabric for ladies pant, fabric for winter kurtas, fabric for bottom , fabric for winter dresses, fabric for kaftans, fabric for shirts, fabric for palazzo, 4765720 , floral print ",no ,in_stock,published 
Printed Spun-4756420,Printed Spun ,Twill ,44 Inches,"Medium Weight/ Used for making dresses, suits, skirts, blouses, tops, kurtis, kaftan, palazzo, suits and more.",100% Polyester ,Multicolour ,0.2,4756420,570 Per Meter ,570,polyester-fabrics>prints | latest-fabrics | autumn-winter | trending-fabrics | prints>poly-prints,"Printed Spun fabric is commonly used for making winter suits, kurta, blouses, suits, kurtis, tops, tunics, stoles, scarves, dresses, skirts etc.","Spun Poly or otherwise known as Spun Polyester is made by spinning 100% polyester fibers into yarns. Spun poly is guaranteed to last twice, does not require ironing, does not shrink, has greater wash-ability, has color-fast material that doesn't stain and Looks, breathes, and feels better.","4756420-(4).jpg, 4756420-(2).jpg, 4756420-(3).jpg","printed spun fabric, spun fabric, spun prints, spun, fabric for winters, poly spun, fabric for kurtis, fabric for kurtas, fabric for tops, fabric for skirts, fabric for dresses, fabric for trousers, fabric for pants, fabric for ladies pant, fabric for winter kurtas, fabric for bottom , fabric for winter dresses, fabric for kaftans, fabric for shirts, fabric for palazzo, 4756420 , floral print ",no ,in_stock,published 
Plain Spun Fabric-4756620,Spun Fabic ,Twill,44 Inches,"Medium Thickness fabric/ Suitable for making dresses, skirts, tops, palazzo, blouses, suits, stoles and more.",100% Polyester ,Olive Green,0.2,4756620,570 Per Meter ,570,polyester-fabrics>solids | latest-fabrics | autumn-winter | trending-fabrics,"Plain spun fabric is suitable for making dresses, skirts, tops, kurti, suits, blouses, palazzo, kaftan, shirts, winter dresses and more.","Plain spun fabric is a polyester base twill weave. Spun Poly or otherwise known as Spun Polyester is made by spinning 100% polyester fibers into yarns. Spun poly is guaranteed to last twice, does not require ironing, does not shrink, has greater wash-ability, has color-fast material that doesn't stain and Looks, breathes, and feels better.","4756620-(4).jpg, 4756620-(2).jpg, 4756620-(3).jpg","plain spun fabric, spun fabric, spun, fabric for winters, poly spun, fabric for kurtis, fabric for kurtas, fabric for tops, fabric for skirts, fabric for dresses, fabric for trousers, fabric for pants, fabric for ladies pant, fabric for winter kurtas, fabric for bottom , fabric for winter dresses, fabric for kaftans, fabric for shirts, fabric for palazzo, 4756620",no ,in_stock,published 
Plain Spun Fabric-4757020,Spun Fabic ,Twill,44 Inches,"Medium Thickness fabric/ Suitable for making dresses, skirts, tops, palazzo, blouses, suits, stoles and more.",100% Polyester ,Light Beige ,0.2,4757020,570 Per Meter ,570,polyester-fabrics>solids | latest-fabrics | autumn-winter | trending-fabrics,"Plain spun fabric is suitable for making dresses, skirts, tops, kurti, suits, blouses, palazzo, kaftan, shirts, winter dresses and more.","Plain spun fabric is a polyester base twill weave. Spun Poly or otherwise known as Spun Polyester is made by spinning 100% polyester fibers into yarns. Spun poly is guaranteed to last twice, does not require ironing, does not shrink, has greater wash-ability, has color-fast material that doesn't stain and Looks, breathes, and feels better.","4757020-(4).jpg, 4757020-(2).jpg, 4757020-(3).jpg","plain spun fabric, spun fabric, spun, fabric for winters, poly spun, fabric for kurtis, fabric for kurtas, fabric for tops, fabric for skirts, fabric for dresses, fabric for trousers, fabric for pants, fabric for ladies pant, fabric for winter kurtas, fabric for bottom , fabric for winter dresses, fabric for kaftans, fabric for shirts, fabric for palazzo, 4757020",no ,in_stock,published 
Plain Spun Fabric-4756820,Spun Fabic ,Twill,44 Inches,"Medium Thickness fabric/ Suitable for making dresses, skirts, tops, palazzo, blouses, suits, stoles and more.",100% Polyester ,Beige ,0.2,4756820,570 Per Meter ,570,polyester-fabrics>solids | latest-fabrics | autumn-winter | trending-fabrics,"Plain spun fabric is suitable for making dresses, skirts, tops, kurti, suits, blouses, palazzo, kaftan, shirts, winter dresses and more.","Plain spun fabric is a polyester base twill weave. Spun Poly or otherwise known as Spun Polyester is made by spinning 100% polyester fibers into yarns. Spun poly is guaranteed to last twice, does not require ironing, does not shrink, has greater wash-ability, has color-fast material that doesn't stain and Looks, breathes, and feels better.","4756820-(4).jpg, 4756820-(2).jpg, 4756820-(3).jpg","plain spun fabric, spun fabric, spun, fabric for winters, poly spun, fabric for kurtis, fabric for kurtas, fabric for tops, fabric for skirts, fabric for dresses, fabric for trousers, fabric for pants, fabric for ladies pant, fabric for winter kurtas, fabric for bottom , fabric for winter dresses, fabric for kaftans, fabric for shirts, fabric for palazzo, 4756820 , beige ",no ,in_stock,published 
