name,fabric_name,weave,width,weight_feel_suitability,content,design_name_color,shipping_weight,design_no,price_text,ragular_price,categories,short_description,long_description,images,tags,manage_stock,stock,status
Printed Georgette-2375620,Printed Georgette ,Plain ,44 Inches ,"Lightweight & semi sheer/ suitable for making sarees, suits, kurti, dupatta, stoles, kaftan, tops and more.",100% Polyester ,Black & Grey ,0.2,2375620,310 Per Meter ,310,prints>poly-prints | polyester-fabrics>prints | latest-fabrics | spring-summer,"Printed georgette fabric is suitable for making saree, suits, dresses, flowy gowns, kaftan, tops, skirts, stoles, palazzo and more.","Printed georgette fabric is a polyester based sheer fabric on plain weave. Georgette is known for its lightweight, sheer and wrinkle free quality. Georgette cloth is woven in highly twisted yarns, which makes it slightly rough to the touch. Suitable for making dresses.","2375620-(4).jpg, 2375620-(2).jpg, 2375620-(3).jpg","printed georgette, georgette prints, primted poly georgette, poly georgette, georgette, printed fabric, fabric for kurti, fabric for suits, fabric for sarees, fabric for skirts, fabric for kaftans, fabric for tops, fabric for blouses, fabric for stoles, fabric for gowns, fabric for palazzos, 2375620",no ,in_stock,Published
Printed Summer Cool Georgette-2551617,Printed Summer Cool Georgette ,Plain ,44 Inches ,"Heavy Georgette & textured/ Used for making dresses, skirts, blouses, tops, kurtis, kaftan etc.",100% Polyester ,Multicolour ,0.2,2551617,150 Per Meter ,150,prints>poly-prints | polyester-fabrics>prints | latest-fabrics | spring-summer,"Printed summer cool georgette fabric, suitable for making dresses, skirts, tops, kurtis, kaftan, blouses, saree, dupatta, palazzo etc.","Summer Cool georgette fabric is a polyester based heavy georgette fabric on plain weave. Summer cool georgette is well known for its texture and for nice quality, known as poly moss. It is used for designing and making dresses.","2551617-(4).jpg, 2551617-(2).jpg, 2551617-(3).jpg","printed summer cool georgette, summer cool georgette prints, summer cool georgette, poly georgette prints, printed fabric, fabric for kurti, fabric for suits, fabric for sarees, fabric for skirts, fabric for kaftans, fabric for tops, fabric for blouses, fabric for stoles, fabric for gowns, fabric for palazzos, 2551617",no ,in_stock,Published
Printed Cotton Voile-695420,Cotton Voil ,Plain ,44 Inches ,"Lightweight & semi sheer/ Suitable for making dresses, tops, kurti, blouses, scarves and more.",100% Cotton ,Multicolour ,0.2,695420,120 Per Meter ,120,cotton>prints-cotton | prints>cotton-prints | latest-fabrics | spring-summer,"Printed cotton voile fabric is suitable for making dresses, skirts, tops, kurti, blouses, kaftan, scarves, kids wear and more.","Printed cotton voile fabric is a plain weave cotton based fabric. Cotton Voile is known for its light weight, the fabric is mostly used in soft furnishing designing dresses. Commly used for making or designing dresses.","695420-(4).jpg, 695420-(2).jpg, 695420-(3).jpg","printed voile, printed cotton voile, cotton voile prints, voile prints, voil prints, printed voil, printed cotton, cotton prints, fabric for kurtis, fabric for tops, fabric for suits, fabric for dresses, fabric for blouses, fabric for skirts, fabric for gowns, fabric for kaftans, fabric for kids wear, 695420",no ,in_stock,Published
Printed Cotton Cambric-695620,Cotton Cambric ,Plain ,44 Inches ,"Lightweight/ Soft Feel/ Used for making suits, kurta, dresses, skirts, tops, blouses, kaftan, palazzo etc.",100% Cotton ,Multicolour ,0.2,695620,130 Per Meter ,130,cotton>prints-cotton | prints>cotton-prints | latest-fabrics | spring-summer,"Printed cotton cambric is suitable for making dresses, skirts, tops, kurti, kaftan, palazzo, blouses, tunics, kids wear and more.","Printed cotton cambric is a plain weave cotton based fabric. One of the finest and most dense kinds of cloth, is a lightweight plain-weave cloth, known as batiste. It is used for making dresses and household items.","695620-(4).jpg, 695620-(2).jpg, 695620-(3).jpg","printed cotton cambric, printed cambric, cotton cambric prints, fabric for kurtis, fabric for tops, fabric for suits, fabric for dresses, fabric for blouses, fabric for skirts, fabric for gowns, fabric for kaftans, fabric for kids wear, 695620",no ,in_stock,Published
Printed Cotton Cambric With Flocking-697720,Cotton Cambric with flocking ,Plain ,44 Inches ,"Lightweight/ Soft Feel/ Used for making suits, kurta, dresses, skirts, tops, blouses, quilts covers etc.",100% Cotton ,Multicolour ,0.2,697720,200 Per Meter ,200,cotton>prints-cotton | prints>cotton-prints | latest-fabrics | spring-summer,"Printed cotton cambric flocking fabric, suitable for making dresses, skirts, tops, kurti, blouses, soft furnishing, quilts covers and more.","Printed cotton cambric with flocking is a 100% Cotton fabric on plain weave. Cotton cambric is known for its light weight, the fabric is mostly used in soft furnishing designing dresses. Commly used for making or designing dresses.","697720-(4).jpg, 697720-(2).jpg, 697720-(3).jpg","printed cotton cambric with flocking, flocking, printed coton, cotton prints, printed cotton cambric flocking, fabric for kurtis, fabric for tops, fabric for suits, fabric for dresses, fabric for blouses, fabric for skirts, fabric for gowns, fabric for kaftans, fabric for kids wear, 697720",no ,in_stock,Published
Printed Swiss Cotton-696120,Swiss Cotton ,Plain ,44 Inches ,"Lightweight & Soft/ Used for making dresses, skirts, tops, ethnics, suits etc.",100% Cotton ,Multicolour ,0.2,696120,600 Per Meter ,600,cotton>prints-cotton | prints>cotton-prints | latest-fabrics | spring-summer,"Swiss Cotton Printed fabric used for making dresses like shirts, skirts, tops, kurtis, cushions, raprons, palazos etc.",Swiss cotton refers to fabric that is produced in Switzerland and it is finest cotton fibre. It is soft and nice fabric. The cotton is imported forom the finest sources in the world and then expertly processed to produce a high quality product,"696120-(4).jpg, 696120-(2).jpg, 696120-(3).jpg","printed swiss cotton, swiss cotton print, swiss cotton, printed cotton, cotton prints, fabric for kurtis, fabric for tops, fabric for suits, fabric for dresses, fabric for blouses, fabric for skirts, fabric for gowns, fabric for kaftans, fabric for kids wear, 696120",no ,in_stock,Published
Printed Cotton Cambric-697420,Cotton Cambric ,Plain ,44 Inches ,"Lightweight/ Soft Feel/ Used for making suits, kurta, dresses, skirts, tops, blouses, kaftan, palazzo etc.",100% Cotton ,Multicolour ,0.2,697420,130 Per Meter ,130,cotton>prints-cotton | prints>cotton-prints | latest-fabrics | spring-summer,"Printed cotton cambric is suitable for making dresses, skirts, tops, kurti, kaftan, palazzo, blouses, tunics, kids wear and more.","Printed cotton cambric is a plain weave cotton based fabric. One of the finest and most dense kinds of cloth, is a lightweight plain-weave cloth, known as batiste. It is used for making dresses and household items.","697420-(4).jpg, 697420-(2).jpg, 697420-(3).jpg","printed cotton cambric, printed cambric, cotton cambric prints, fabric for kurtis, fabric for tops, fabric for suits, fabric for dresses, fabric for blouses, fabric for skirts, fabric for gowns, fabric for kaftans, fabric for kids wear, 697420",no ,in_stock,Published
Printed Cotton Cambric-695220,Cotton Cambric ,Plain ,44 Inches ,"Lightweight/ Soft Feel/ Used for making suits, kurta, dresses, skirts, tops, blouses, kaftan, palazzo etc.",100% Cotton ,Multicolour ,0.2,695220,420 Per Meter ,420,cotton>prints-cotton | prints>cotton-prints | latest-fabrics | spring-summer,"Printed cotton cambric is suitable for making dresses, skirts, tops, kurti, kaftan, palazzo, blouses, tunics, kids wear and more.","Printed cotton cambric is a plain weave cotton based fabric. One of the finest and most dense kinds of cloth, is a lightweight plain-weave cloth, known as batiste. It is used for making dresses and household items.","695220-(4).jpg, 695220-(2).jpg, 695220-(3).jpg","printed cotton cambric, printed cambric, cotton cambric prints, fabric for kurtis, fabric for tops, fabric for suits, fabric for dresses, fabric for blouses, fabric for skirts, fabric for gowns, fabric for kaftans, fabric for kids wear, 695220",no ,in_stock,Published
Printed Cotton Cambric-696920,Cotton Cambric ,Plain ,44 Inches ,"Lightweight/ Soft Feel/ Used for making suits, kurta, dresses, skirts, tops, blouses, kaftan, palazzo etc.",100% Cotton ,Multicolour ,0.2,696920,450 Per Meter ,450,cotton>prints-cotton | prints>cotton-prints | latest-fabrics | spring-summer,"Printed cotton cambric is suitable for making dresses, skirts, tops, kurti, kaftan, palazzo, blouses, tunics, kids wear and more.","Printed cotton cambric is a plain weave cotton based fabric. One of the finest and most dense kinds of cloth, is a lightweight plain-weave cloth, known as batiste. It is used for making dresses and household items.","696920-(4).jpg, 696920-(2).jpg, 696920-(3).jpg","printed cotton cambric, printed cambric, cotton cambric prints, fabric for kurtis, fabric for tops, fabric for suits, fabric for dresses, fabric for blouses, fabric for skirts, fabric for gowns, fabric for kaftans, fabric for kids wear, 696920",no ,in_stock,Published
Printed Cotton Cambric-696820,Cotton Cambric ,Plain ,44 Inches ,"Lightweight/ Soft Feel/ Used for making suits, kurta, dresses, skirts, tops, blouses, kaftan, palazzo etc.",100% Cotton ,Black & White ,0.2,696820,150 Per Meter ,150,cotton>prints-cotton | prints>cotton-prints | latest-fabrics | spring-summer,"Printed cotton cambric is suitable for making dresses, skirts, tops, kurti, kaftan, palazzo, blouses, tunics, kids wear and more.","Printed cotton cambric is a plain weave cotton based fabric. One of the finest and most dense kinds of cloth, is a lightweight plain-weave cloth, known as batiste. It is used for making dresses and household items.","696820-(4).jpg, 696820-(2).jpg, 696820-(3).jpg","printed cotton cambric, printed cambric, cotton cambric prints, fabric for kurtis, fabric for tops, fabric for suits, fabric for dresses, fabric for blouses, fabric for skirts, fabric for gowns, fabric for kaftans, fabric for kids wear, 696820",no ,in_stock,Published
Printed Cotton Poplin Spandex-696720,Printed Cotton Poplin Spandex,Plain ,44 Inches ,"Lightweight & stretch fabric/ Suitable for making dresses, skirts, tops, blouses, palazzo, shirts, cushions and more.",97% Cotton 3% Spandex,Multicolour ,0.2,696720,240 Per Meter ,240,cotton>prints-cotton | prints>cotton-prints | latest-fabrics | spring-summer,"Printed cotton poplin spandex is suitable for making dresses, skirts, tops, kurti, shirts, blouses and more.","Printed cotton spandex fabric is a cotton based fabric with spandex in it. Poplin, also called tabinet (or tabbinet), is a strong fabric in a plain weave. Being a plain under/over weave, if the weft and warp threads are of the same material and size, the effect is a plain woven surface with no ribbing.","696720-(4).jpg, 696720-(2).jpg, 696720-(3).jpg","printed cotton poplin spandex, printed cotton poplin lycra, lycra prints, cotton lycra prints, cotton poplin, printed cotton poplin, printed fabric, fabric for shirts, fabric for kurtis, fabric for skirts, fabric for dresses, fabric for tops, fabric for suits, fabric for palazzos, fabric for blouses, 696720 , floral prints ",no ,in_stock,Published
Printed Cotton Voile-697520,Cotton Voil ,Plain ,44 Inches ,"Lightweight & semi sheer/ Suitable for making dresses, tops, kurti, blouses, scarves and more.",100% Cotton ,Multicolour ,0.2,697520,130 Per Meter ,130,cotton>prints-cotton | prints>cotton-prints | latest-fabrics | spring-summer,"Printed cotton voile fabric is suitable for making dresses, skirts, tops, kurti, blouses, kaftan, scarves, kids wear and more.","Printed cotton voile fabric is a plain weave cotton based fabric. Cotton Voile is known for its light weight, the fabric is mostly used in soft furnishing designing dresses. Commly used for making or designing dresses.","697520-(4).jpg, 697520-(2).jpg, 697520-(3).jpg","printed voile, printed cotton voile, cotton voile prints, voile prints, voil prints, printed voil, printed cotton, cotton prints, fabric for kurtis, fabric for tops, fabric for suits, fabric for dresses, fabric for blouses, fabric for skirts, fabric for gowns, fabric for kaftans, fabric for kids wear, 697520 , floral prints",no ,in_stock,Published
Printed Cotton Voile-695320,Cotton Voil ,Plain ,44 Inches ,"Lightweight & semi sheer/ Suitable for making dresses, tops, kurti, blouses, scarves and more.",100% Cotton ,Blue ,0.2,695320,130 Per Meter ,130,cotton>prints-cotton | prints>cotton-prints | latest-fabrics | spring-summer,"Printed cotton voile fabric is suitable for making dresses, skirts, tops, kurti, blouses, kaftan, scarves, kids wear and more.","Printed cotton voile fabric is a plain weave cotton based fabric. Cotton Voile is known for its light weight, the fabric is mostly used in soft furnishing designing dresses. Commly used for making or designing dresses.","695320-(4).jpg, 695320-(2).jpg, 695320-(3).jpg","printed voile, printed cotton voile, cotton voile prints, voile prints, voil prints, printed voil, printed cotton, cotton prints, fabric for kurtis, fabric for tops, fabric for suits, fabric for dresses, fabric for blouses, fabric for skirts, fabric for gowns, fabric for kaftans, fabric for kids wear, 695320 , floral prints",no ,in_stock,Published
Printed Cotton Voile-697120,Cotton Voil ,Plain ,44 Inches ,"Lightweight & semi sheer/ Suitable for making dresses, tops, kurti, blouses, scarves and more.",100% Cotton ,Multicolour ,0.2,697120,130 Per Meter ,130,cotton>prints-cotton | prints>cotton-prints | latest-fabrics | spring-summer,"Printed cotton voile fabric is suitable for making dresses, skirts, tops, kurti, blouses, kaftan, scarves, kids wear and more.","Printed cotton voile fabric is a plain weave cotton based fabric. Cotton Voile is known for its light weight, the fabric is mostly used in soft furnishing designing dresses. Commly used for making or designing dresses.","697120-(4).jpg, 697120-(2).jpg, 697120-(3).jpg","printed voile, printed cotton voile, cotton voile prints, voile prints, voil prints, printed voil, printed cotton, cotton prints, fabric for kurtis, fabric for tops, fabric for suits, fabric for dresses, fabric for blouses, fabric for skirts, fabric for gowns, fabric for kaftans, fabric for kids wear, 697120 , floral prints",no ,in_stock,Published
