name,fabric_name,weave,width,weight_feel_suitability,content,design_name_color,shipping_weight,design_no,price_text,ragular_price,categories,short_description,long_description,images,tags,manage_stock,stock,status
Printed Chanderi Fabric-2358420,Printed Chanderi Fabric,Plain,44 Inches,"Lightweight & Sheer fabric/ Suitable for making dresses, saree, stoles, dupatta, blouses, skirts, lehenga, suits, kurti and more.",70% PES 30% PA,Red & White,0.15,2358420,390 per meter,390,polyester-fabrics>prints | prints>chanderi | latest-fabrics | spring-summer,"Commonly used for making or designing shirts, skirts, suits, sarees, ethnic wear, dresses, scarves, blouses, kurti etc.","Chanderi fabric, made from blend of polyamide and polyester. Chanderi fabric is a lightweight, silky and comfortable weave, it has a soft hand-feel and a sturdy, silken drape, along with a versatility that makes it suitable for an extended variety of garment uses. Commonly used for making dresses.","2358420-(4).jpg, 2358420-(2).jpg, 2358420-(3).jpg","printed chanderi fabrics, chanderi prints, digitals, digital prints, fabric for saree, fabric for suits, fabric for kurti, fabric for blouses, fabric for kurti, distorted stripes, red, 2358420",no ,in_stock,published 
Printed Chanderi Fabric-2358520,Printed Chanderi Fabric,Plain,44 Inches,"Lightweight & Sheer fabric/ Suitable for making dresses, saree, stoles, dupatta, blouses, skirts, lehenga, suits, kurti and more.",70% PES 30% PA,Red & Beige,0.15,2358520,390 per meter,390,polyester-fabrics>prints | prints>chanderi | latest-fabrics | spring-summer,"Commonly used for making or designing shirts, skirts, suits, sarees, ethnic wear, dresses, scarves, blouses, kurti etc.","Chanderi fabric, made from blend of polyamide and polyester. Chanderi fabric is a lightweight, silky and comfortable weave, it has a soft hand-feel and a sturdy, silken drape, along with a versatility that makes it suitable for an extended variety of garment uses. Commonly used for making dresses.","2358520-(4).jpg, 2358520-(2).jpg, 2358520-(3).jpg","printed chanderi fabrics, chanderi prints, digitals, digital prints, fabric for saree, fabric for suits, fabric for kurti, fabric for blouses, fabric for kurti, bandhani prints, red, 2358520",no ,in_stock,published 
Printed Chanderi Fabric-2358620,Printed Chanderi Fabric,Plain,44 Inches,"Lightweight & Sheer fabric/ Suitable for making dresses, saree, stoles, dupatta, blouses, skirts, lehenga, suits, kurti and more.",70% PES 30% PA,Blood Red & Beige,0.15,2358620,390 per meter,390,polyester-fabrics>prints | prints>chanderi | latest-fabrics | spring-summer,"Commonly used for making or designing shirts, skirts, suits, sarees, ethnic wear, dresses, scarves, blouses, kurti etc.","Chanderi fabric, made from blend of polyamide and polyester. Chanderi fabric is a lightweight, silky and comfortable weave, it has a soft hand-feel and a sturdy, silken drape, along with a versatility that makes it suitable for an extended variety of garment uses. Commonly used for making dresses.","2358620-(4).jpg, 2358620-(2).jpg, 2358620-(3).jpg","printed chanderi fabrics, chanderi prints, digitals, digital prints, fabric for saree, fabric for suits, fabric for kurti, fabric for blouses, fabric for kurti, bandhani prints, red, dark red, blood red, 2358620",no ,in_stock,published 
Printed Chanderi Fabric-2358820,Printed Chanderi Fabric,Plain,44 Inches,"Lightweight & Sheer fabric/ Suitable for making dresses, saree, stoles, dupatta, blouses, skirts, lehenga, suits, kurti and more.",70% PES 30% PA,Red & Beige,0.15,2358820,390 per meter,390,polyester-fabrics>prints | prints>chanderi | latest-fabrics | spring-summer,"Commonly used for making or designing shirts, skirts, suits, sarees, ethnic wear, dresses, scarves, blouses, kurti etc.","Chanderi fabric, made from blend of polyamide and polyester. Chanderi fabric is a lightweight, silky and comfortable weave, it has a soft hand-feel and a sturdy, silken drape, along with a versatility that makes it suitable for an extended variety of garment uses. Commonly used for making dresses.","2358820-(4).jpg, 2358820-(2).jpg, 2358820-(3).jpg","printed chanderi fabrics, chanderi prints, digitals, digital prints, fabric for saree, fabric for suits, fabric for kurti, fabric for blouses, fabric for kurti, red, 2358820",no ,in_stock,published 
Printed Chanderi Fabric-2358720,Printed Chanderi Fabric,Plain,44 Inches,"Lightweight & Sheer fabric/ Suitable for making dresses, saree, stoles, dupatta, blouses, skirts, lehenga, suits, kurti and more.",70% PES 30% PA,Red & Beige,0.15,2358720,390 per meter,390,polyester-fabrics>prints | prints>chanderi | latest-fabrics | spring-summer,"Commonly used for making or designing shirts, skirts, suits, sarees, ethnic wear, dresses, scarves, blouses, kurti etc.","Chanderi fabric, made from blend of polyamide and polyester. Chanderi fabric is a lightweight, silky and comfortable weave, it has a soft hand-feel and a sturdy, silken drape, along with a versatility that makes it suitable for an extended variety of garment uses. Commonly used for making dresses.","2358720-(4).jpg, 2358720-(2).jpg, 2358720-(3).jpg","printed chanderi fabrics, chanderi prints, digitals, digital prints, fabric for saree, fabric for suits, fabric for kurti, fabric for blouses, fabric for kurti, distrorted stripes prints, red, 2358720",no ,in_stock,published 
Printed Chanderi Fabric-2380520,Printed Chanderi Fabric,Plain,44 Inches,"Lightweight & Sheer fabric/ Suitable for making dresses, saree, stoles, dupatta, blouses, skirts, lehenga, suits, kurti and more.",70% PES 30% PA,Multicolour,0.15,2380520,410 per meter,410,polyester-fabrics>prints | prints>chanderi | latest-fabrics | spring-summer,"Commonly used for making or designing shirts, skirts, suits, sarees, ethnic wear, dresses, scarves, blouses, kurti etc.","Chanderi fabric, made from blend of polyamide and polyester. Chanderi fabric is a lightweight, silky and comfortable weave, it has a soft hand-feel and a sturdy, silken drape, along with a versatility that makes it suitable for an extended variety of garment uses. Commonly used for making dresses.","2380520-(4).jpg, 2380520-(2).jpg, 2380520-(3).jpg","printed chanderi fabrics, chanderi prints, digitals, digital prints, fabric for saree, fabric for suits, fabric for kurti, fabric for blouses, fabric for kurti, tie & dye prints, tie and dye prints, multicolour, 2380520",no ,in_stock,published 
Printed Chanderi Fabric-2381020,Printed Chanderi Fabric,Plain,44 Inches,"Lightweight & Sheer fabric/ Suitable for making dresses, saree, stoles, dupatta, blouses, skirts, lehenga, suits, kurti and more.",70% PES 30% PA,Coral and White,0.15,2381020,410 per meter,410,polyester-fabrics>prints | prints>chanderi | latest-fabrics | spring-summer,"Commonly used for making or designing shirts, skirts, suits, sarees, ethnic wear, dresses, scarves, blouses, kurti etc.","Chanderi fabric, made from blend of polyamide and polyester. Chanderi fabric is a lightweight, silky and comfortable weave, it has a soft hand-feel and a sturdy, silken drape, along with a versatility that makes it suitable for an extended variety of garment uses. Commonly used for making dresses.","2381020-(4).jpg, 2381020-(2).jpg, 2381020-(3).jpg","printed chanderi fabrics, chanderi prints, digitals, digital prints, fabric for saree, fabric for suits, fabric for kurti, fabric for blouses, fabric for kurti, tie & dye prints, tie and dye prints, multicolour, coral, white, 2381020",no ,in_stock,published 
Printed Chanderi Fabric-2380820,Printed Chanderi Fabric,Plain,44 Inches,"Lightweight & Sheer fabric/ Suitable for making dresses, saree, stoles, dupatta, blouses, skirts, lehenga, suits, kurti and more.",70% PES 30% PA,Multicolour,0.15,2380820,410 per meter,410,polyester-fabrics>prints | prints>chanderi | latest-fabrics | spring-summer,"Commonly used for making or designing shirts, skirts, suits, sarees, ethnic wear, dresses, scarves, blouses, kurti etc.","Chanderi fabric, made from blend of polyamide and polyester. Chanderi fabric is a lightweight, silky and comfortable weave, it has a soft hand-feel and a sturdy, silken drape, along with a versatility that makes it suitable for an extended variety of garment uses. Commonly used for making dresses.","2380820-(4).jpg, 2380820-(2).jpg, 2380820-(3).jpg","printed chanderi fabrics, chanderi prints, digitals, digital prints, fabric for saree, fabric for suits, fabric for kurti, fabric for blouses, fabric for kurti, tie & dye prints, tie and dye prints, multicolour, 2380820",no ,in_stock,published 
Printed Chanderi Fabric-2380320,Printed Chanderi Fabric,Plain,44 Inches,"Lightweight & Sheer fabric/ Suitable for making dresses, saree, stoles, dupatta, blouses, skirts, lehenga, suits, kurti and more.",70% PES 30% PA,Multicolour,0.15,2380320,410 per meter,410,polyester-fabrics>prints | prints>chanderi | latest-fabrics | spring-summer,"Commonly used for making or designing shirts, skirts, suits, sarees, ethnic wear, dresses, scarves, blouses, kurti etc.","Chanderi fabric, made from blend of polyamide and polyester. Chanderi fabric is a lightweight, silky and comfortable weave, it has a soft hand-feel and a sturdy, silken drape, along with a versatility that makes it suitable for an extended variety of garment uses. Commonly used for making dresses.","2380320-(4).jpg, 2380320-(2).jpg, 2380320-(3).jpg","printed chanderi fabrics, chanderi prints, digitals, digital prints, fabric for saree, fabric for suits, fabric for kurti, fabric for blouses, fabric for kurti, tie & dye prints, tie and dye prints, multicolour, 2380320",no ,in_stock,published 
Printed Chanderi Fabric-2380920,Printed Chanderi Fabric,Plain,44 Inches,"Lightweight & Sheer fabric/ Suitable for making dresses, saree, stoles, dupatta, blouses, skirts, lehenga, suits, kurti and more.",70% PES 30% PA,Light Green & white,0.15,2380920,410 per meter,410,polyester-fabrics>prints | prints>chanderi | latest-fabrics | spring-summer,"Commonly used for making or designing shirts, skirts, suits, sarees, ethnic wear, dresses, scarves, blouses, kurti etc.","Chanderi fabric, made from blend of polyamide and polyester. Chanderi fabric is a lightweight, silky and comfortable weave, it has a soft hand-feel and a sturdy, silken drape, along with a versatility that makes it suitable for an extended variety of garment uses. Commonly used for making dresses.","2380920-(4).jpg, 2380920-(2).jpg, 2380920-(3).jpg","printed chanderi fabrics, chanderi prints, digitals, digital prints, fabric for saree, fabric for suits, fabric for kurti, fabric for blouses, fabric for kurti, tie & dye prints, tie and dye prints, multicolour, white, light green, 2380920",no ,in_stock,published 
Printed Chanderi Fabric-2380220,Printed Chanderi Fabric,Plain,44 Inches,"Lightweight & Sheer fabric/ Suitable for making dresses, saree, stoles, dupatta, blouses, skirts, lehenga, suits, kurti and more.",70% PES 30% PA,Pink & White,0.15,2380220,410 per meter,410,polyester-fabrics>prints | prints>chanderi | latest-fabrics | spring-summer,"Commonly used for making or designing shirts, skirts, suits, sarees, ethnic wear, dresses, scarves, blouses, kurti etc.","Chanderi fabric, made from blend of polyamide and polyester. Chanderi fabric is a lightweight, silky and comfortable weave, it has a soft hand-feel and a sturdy, silken drape, along with a versatility that makes it suitable for an extended variety of garment uses. Commonly used for making dresses.","2380220-(4).jpg, 2380220-(2).jpg, 2380220-(3).jpg","printed chanderi fabrics, chanderi prints, digitals, digital prints, fabric for saree, fabric for suits, fabric for kurti, fabric for blouses, fabric for kurti, tie & dye prints, tie and dye prints, multicolour, pink, white, 2380220",no ,in_stock,published 
