name,fabric_name,weave,width,weight_feel_suitability,content,design_name_color,shipping_weight,design_no,price_text,ragular_price,categories,short_description,long_description,images,tags,manage_stock,stock,status
Cotton Blend Print-2648418,Cotton Blend ,Plain,44 Inches ,"Lightweight/ Soft Feel/ Used for Making dresses, shirts, kurtis, skirts, kaftan, palazzo etc.",65% Polyester 35% Cotton ,Multicolour,0.2,2648418,400 Per Meter ,400,cotton>cotton-blends | latest-fabrics | spring-summer,"Cotton blend fabric, commonly used for making dresses, suits, kurtis, tops, skirts, blouses, kaftan etc.","Cotton blend fabric, made forom blend of cotton and polyester on plain weave. It is digtial printed fabric, Polyester is blended with cotton for a number of reasons related to the cost, performance, washability, and color-fastness (ability to hold dye) of the fabric.","2648418-(4).jpg, 2648418-(2).jpg, 2648418-(3).jpg","cotton blend fabric, cotton blend, cotton fabric, polyester cotton, poly cotton, cotton prints, printed cotton, blended fabric, fabric for kurtis, fabric for tops, fabric for palazzo, fabric for suits, fabric for blouses, fabric for kaftans, fabric for skirts, fabric for dresses, floral print, flower print, yellow,  2648418",no ,in_stock,published 
 Brasso Net Fabric-6659017,Brasso Net Fabric,Brasso,44 Inches ,"Lightweight/Suitable for sarees, dresses, kurtis, shrugs, curtains, tops, skirts, blouses etc.",100% Polyamide,Bright Yellow ,0.2,6659017,390 Per Meter ,390,spring-summer | latest-fabrics,"Brasso net fabric, suitable for making dresses, skirts, kurti, western wear, tops, designer outfits, accessries , curtains and more. ","Brasso net fabric is a polyamid fabirc. Brasso fabric is a semi-opaque material that is popularly used in the creation of dresses, skirts, tops and more.","6659017-(4).jpg, 6659017-(2).jpg, 6659017-(3).jpg","Nylon net brasso fabric, brasso fabric, brasso, net fabric, net brasso fabric, nylon brasso, fabric for sarees, fabric for blouses, fabric for kurtis, fabric for suits, fabirc for tops, fabric for curtains, fabric for sheer, fabric for dresses, fabric for skirts, fabric for sleeves, yellow, net, 6659017",no ,in_stock,published 
Printed Cotton Cambric-342820,Cotton Cambric ,Plain ,54 Inches ,"Shirting weight Fabric/ Suitable for making shirts, dresses, tops, kurti, blouses and more",100% Cotton ,Lavender ,0.2,342820,290 Per Meter ,290,cotton>prints-cotton | prints>cotton-prints | latest-fabrics | spring-summer,"Printed cotton cambric is suitable for making dresses, skirts, tops, kurti, kaftan, palazzo, blouses, tunics, kids wear and more.","Printed cotton cambric is a plain weave cotton based fabric. One of the finest and most dense kinds of cloth, is a lightweight plain-weave cloth, known as batiste. It is used for making dresses and household items.","342820-(4).jpg, 342820-(2).jpg, 342820-(3).jpg","printed cotton cambric, cotton cambrc prints, cotton prints, cambric prints, printed cotton, fabric for shirts, fabric for mens shirt, fabric for kurtis, fabric for tops, fabric for suits, fabric for blouses, fabric for palazzo, fabric for skirts, fabric for dresses, fabric for kids wear, fabric for night suits, fabric for kaftans, floral print, flower print, 342820 , lavender , 40's cotton ",no ,in_stock,published 
Printed Swiss Cotton-5184719,Swiss Cotton ,Plain ,52 Inches ,"Lightweight & Soft/ Used for making dresses, skirts, tops, ethnics, suits etc.",100% Cotton ,Multicolour,0.2,5184719,660 Per Meter ,660,cotton>prints-cotton | prints>cotton-prints | latest-fabrics | spring-summer,"Swiss Cotton Printed fabric used for making dresses like shirts, skirts, tops, kurtis, cushions, raprons, palazos etc.",Swiss cotton refers to fabric that is produced in Switzerland and it is finest cotton fibre. It is soft and nice fabric. The cotton is imported forom the finest sources in the world and then expertly processed to produce a high quality product.,"5184719-(4).jpg, 5184719-(2).jpg, 5184719-(3).jpg","printed swiss cotton, swiss cotton prints, cotton prints, swiss cotton, swiss fabric, fabric for kurtis, fabric for tops, fabric for suits, fabric for blouses, fabric for palazzo, fabric for skirts, fabric for dresses, fabric for kids wear, fabric for kaftans, floral print, flower print, 5184719 , yellow, grey ",no ,in_stock,published 
Burnout Fabric-2577017,Burnout Fabric ,Plain ,44 Inches ,"Lightweight & Soft/ Used for making dresses, tops, western wear, designer wear, skirts etc.",60% Polyester 40% Viscose ,yellow ,0.2,2577017,800 Per Meter ,800,rayons-modals>rayons-blends | latest-fabrics | trending-fabrics | spring-summer,"Burnout fabric, suitable for making blouses, gowns, blazers, jackets, skirts, lehenga, designer wear etc.","Burnout fabric is a blend base fabric of viscose and polyester. Burnout or devor? is a fabric technique, where a mixed-fibre material undergoes a chemical process to dissolve the cellulose fibers to create a semi-transparent pattern against more solidly woven fabric.","2577017-(4).jpg, 2577017-(2).jpg, 2577017-(3).jpg","burnout fabric, burnout, poly viscose burnout fabric, fabric for skirts, fabric for tops, fabric for suits, fabric for kurtis, fabric for blouses, fabric for gowns, fabric for lehngas, fabric for jackets, fabric for blazzer, fabric for ethnic wear, yellow, 2577017 ",no ,in_stock,published 
Spandex Knitted Fabric-4650020,Spandex Knitted Fabric ,Knitted ,60 Inches ,"Lightweight & Soft fabric/ Suitable for making dresses, skirts, tops, western outfits, shorts, jackets and more.",95% Polyester 5% Spandex,Lavender ,0.2,4650020,390 Per Meter ,390,polyester-fabrics>knits | knits>poly-knits | latest-fabrics | trending-fabrics,"Spandex knitted fabric suitable for making dresses, skirts, tops, western outfits, designer wear, shorts, one piece dress and more.",Spandex knitted fabric is a polyester base fabric with spandex in it. Spandex fabric is a type very thin an smooth texture fabric. It's a very smooth and has a nice drape to it. It is suitable for making dresses.,"4650020-(4).jpg, 4650020-(2).jpg, 4650020-(3).jpg","polyester spandex knitted fabric, polyester spandex knit, lycra knit fabric, lycra, spandex knit fabric, spandax, knitted fabric, poly knit fabric, poly lycra knit, fabric for skirts,fabric for tops, fabric for dresses, fabric for shorts, fabric for western dresses, fabric for hort dresses, fabric for gowns, knit fabric, lavender, 4650020",no ,in_stock,published 
Printed Spun-4731120,Spun ,Twill ,44 Inches ,"Medium Weight/ Used for making dresses, suits, skirts, blouses, tops, kurtis, kaftan, palazzo, suits and more.",100% Polyester ,Multicolour,0.2,4731120,570 Per Meter ,570,polyester-fabrics>prints | prints>poly-prints | autumn-winter | latest-fabrics | trending-fabrics,"Printed Spun fabric is commonly used for making winter suits, kurta, blouses, suits, kurtis, tops, tunics, stoles, scarves, dresses, skirts etc.","Spun Poly or otherwise known as Spun Polyester is made by spinning 100% polyester fibers into yarns. Spun poly is guaranteed to last twice, does not require ironing, does not shrink, has greater wash-ability, has color-fast material that doesn't stain and Looks, breathes, and feels better.","4731120-(4).jpg, 4731120-(2).jpg, 4731120-(3).jpg","printed spun, spun prints, printed spun fabric, spun, winter fabric, spun prints, winter fabric, fabric for winter kurtis, fabric for tops, fabric for kurtis, fabric for suits, fabric for topz, fabric for nehru jackets, fabric for jackets, fabric for blouses, fabric for shawls, fabric for dresses, fabric for skirts, poly spun, polyester spun fabric, printed fabric, red, yellow, green, orange, 4731120 ",no ,in_stock,published 
Printed Spun-4731020,Spun ,Twill ,44 Inches ,"Medium Weight/ Used for making dresses, suits, skirts, blouses, tops, kurtis, kaftan, palazzo, suits and more.",100% Polyester ,Multicolour,0.2,4731020,570 Per Meter ,570,polyester-fabrics>prints | prints>poly-prints | autumn-winter | latest-fabrics | trending-fabrics,"Printed Spun fabric is commonly used for making winter suits, kurta, blouses, suits, kurtis, tops, tunics, stoles, scarves, dresses, skirts etc.","Spun Poly or otherwise known as Spun Polyester is made by spinning 100% polyester fibers into yarns. Spun poly is guaranteed to last twice, does not require ironing, does not shrink, has greater wash-ability, has color-fast material that doesn't stain and Looks, breathes, and feels better.","4731020-(4).jpg, 4731020-(2).jpg, 4731020-(3).jpg","printed spun, spun prints, printed spun fabric, spun, winter fabric, spun prints, winter fabric, fabric for winter kurtis, fabric for tops, fabric for kurtis, fabric for suits, fabric for topz, fabric for nehru jackets, fabric for jackets, fabric for blouses, fabric for shawls, fabric for dresses, fabric for skirts, poly spun, polyester spun fabric, printed fabric, red, yellow, orange, 4731020",no ,in_stock,published 
Kalamkari Prints-4100117,Cotton Cambric ,Plain ,44 Inches ,"Lightweight/ Soft Feel/ Used for making suits, kurta, dresses, skirts, tops, blouses, kaftan, palazzo etc.",100% Cotton ,Multicolour,0.2,4100117,220 Per Meter ,220,cotton>prints-cotton | prints>traditional-ethnics | latest-fabrics | spring-summer,"Kalamkari printed cotton fabric is suitable for making dresses, skirts, kurta, kurti, traditonal ethnics, ethnic wear, tops, short kurta, tops, long dresses and more.",Kalamkari printed fabric is a cotton cambric based plain weave fabric. Kalamkari painting is the best specimen of natural colour artwork. Kalamkari is an art form of hand printing or block printing normally done on cotton fabrics using only vegetable dyes or natural colours.,"4100117-(4).jpg, 4100117-(2).jpg, 4100117-(3).jpg, 4100117-(5).jpg","kalamkari prints, printed kalamkari, kalamkari, cotton kalamkari prints, kalamkari design, printed kalamkari, handcrafted fabric, face print kalamkari, face print, fabric for kurtis, fabric for kurtas, fabric for suits, fabric for tops, fabric for blouses, fabric for skirts, fabric for short kurta, beige, 4100117",no ,in_stock,published 
Kalamkari Prints-11348,Cotton Cambric ,Plain ,44 Inches ,"Lightweight/ Soft Feel/ Used for making suits, kurta, dresses, skirts, tops, blouses, kaftan, palazzo etc.",100% Cotton ,Multicolour,0.2,11348,220 Per Meter ,220,cotton>prints-cotton | prints>traditional-ethnics | latest-fabrics | spring-summer,"Kalamkari printed cotton fabric is suitable for making dresses, skirts, kurta, kurti, traditonal ethnics, ethnic wear, tops, short kurta, tops, long dresses and more.",Kalamkari printed fabric is a cotton cambric based plain weave fabric. Kalamkari painting is the best specimen of natural colour artwork. Kalamkari is an art form of hand printing or block printing normally done on cotton fabrics using only vegetable dyes or natural colours.,"11348-(4).jpg, 11348-(2).jpg, 11348-(3).jpg","kalamkari prints, printed kalamkari, kalamkari, cotton kalamkari prints, kalamkari design, printed kalamkari, handcrafted fabric, fabric for kurtis, fabric for kurtas, fabric for suits, fabric for tops, fabric for blouses, fabric for skirts, fabric for short kurta, beige, 11348",no ,in_stock,published 
Kalamkari Prints-4247319,Cotton Cambric ,Plain ,44 Inches ,"Lightweight/ Soft Feel/ Used for making suits, kurta, dresses, skirts, tops, blouses, kaftan, palazzo etc.",100% Cotton ,Multicolour,0.2,4247319,220 Per Meter ,220,cotton>prints-cotton | prints>traditional-ethnics | latest-fabrics | spring-summer,"Kalamkari printed cotton fabric is suitable for making dresses, skirts, kurta, kurti, traditonal ethnics, ethnic wear, tops, short kurta, tops, long dresses and more.",Kalamkari printed fabric is a cotton cambric based plain weave fabric. Kalamkari painting is the best specimen of natural colour artwork. Kalamkari is an art form of hand printing or block printing normally done on cotton fabrics using only vegetable dyes or natural colours.,"4247319-(4).jpg, 4247319-(2).jpg, 4247319-(3).jpg","kalamkari prints, printed kalamkari, kalamkari, cotton kalamkari prints, kalamkari design, printed kalamkari, handcrafted fabric, fabric for kurtis, fabric for kurtas, fabric for suits, fabric for tops, fabric for blouses, fabric for skirts, fabric for short kurta, 4247319",no ,in_stock,published 
Kalamkari Prints-4547020,Cotton Cambric ,Plain ,44 Inches ,"Lightweight/ Soft Feel/ Used for making suits, kurta, dresses, skirts, tops, blouses, kaftan, palazzo etc.",100% Cotton ,Multicolour,0.2,4547020,220 Per Meter ,220,cotton>prints-cotton | prints>traditional-ethnics | latest-fabrics | spring-summer,"Kalamkari printed cotton fabric is suitable for making dresses, skirts, kurta, kurti, traditonal ethnics, ethnic wear, tops, short kurta, tops, long dresses and more.",Kalamkari printed fabric is a cotton cambric based plain weave fabric. Kalamkari painting is the best specimen of natural colour artwork. Kalamkari is an art form of hand printing or block printing normally done on cotton fabrics using only vegetable dyes or natural colours.,"4547020-(4).jpg, 4547020-(2).jpg, 4547020-(3).jpg","kalamkari prints, printed kalamkari, kalamkari, cotton kalamkari prints, kalamkari design, printed kalamkari, handcrafted fabric, fabric for kurtis, fabric for kurtas, fabric for suits, fabric for tops, fabric for blouses, fabric for skirts, fabric for short kurta, 4547020 , paisley print ",no ,in_stock,published 
Kalamkari Prints-4546920,Cotton Cambric ,Plain ,44 Inches ,"Lightweight/ Soft Feel/ Used for making suits, kurta, dresses, skirts, tops, blouses, kaftan, palazzo etc.",100% Cotton ,Multicolour,0.2,4546920,220 Per Meter ,220,cotton>prints-cotton | prints>traditional-ethnics | latest-fabrics | spring-summer,"Kalamkari printed cotton fabric is suitable for making dresses, skirts, kurta, kurti, traditonal ethnics, ethnic wear, tops, short kurta, tops, long dresses and more.",Kalamkari printed fabric is a cotton cambric based plain weave fabric. Kalamkari painting is the best specimen of natural colour artwork. Kalamkari is an art form of hand printing or block printing normally done on cotton fabrics using only vegetable dyes or natural colours.,"4546920-(4).jpg, 4546920-(2).jpg, 4546920-(3).jpg","kalamkari prints, printed kalamkari, kalamkari, cotton kalamkari prints, kalamkari design, printed kalamkari, handcrafted fabric, fabric for kurtis, fabric for kurtas, fabric for suits, fabric for tops, fabric for blouses, fabric for skirts, fabric for short kurta, 4546920 , mustard",no ,in_stock,published 
Kalamkari Prints-11347,Cotton Cambric ,Plain ,44 Inches ,"Lightweight/ Soft Feel/ Used for making suits, kurta, dresses, skirts, tops, blouses, kaftan, palazzo etc.",100% Cotton ,Multicolour,0.2,11347,220 Per Meter ,220,cotton>prints-cotton | prints>traditional-ethnics | latest-fabrics | spring-summer,"Kalamkari printed cotton fabric is suitable for making dresses, skirts, kurta, kurti, traditonal ethnics, ethnic wear, tops, short kurta, tops, long dresses and more.",Kalamkari printed fabric is a cotton cambric based plain weave fabric. Kalamkari painting is the best specimen of natural colour artwork. Kalamkari is an art form of hand printing or block printing normally done on cotton fabrics using only vegetable dyes or natural colours.,"11347-(4).jpg, 11347-(2).jpg, 11347-(3).jpg","kalamkari prints, printed kalamkari, kalamkari, cotton kalamkari prints, kalamkari design, printed kalamkari, handcrafted fabric, fabric for kurtis, fabric for kurtas, fabric for suits, fabric for tops, fabric for blouses, fabric for skirts, fabric for short kurta, 11347 , red",no ,in_stock,published 
Kalamkari Prints-4138220,Cotton Cambric ,Plain ,44 Inches ,"Lightweight/ Soft Feel/ Used for making suits, kurta, dresses, skirts, tops, blouses, kaftan, palazzo etc.",100% Cotton ,Multicolour,0.2,4138220,220 Per Meter ,220,cotton>prints-cotton | prints>traditional-ethnics | latest-fabrics | spring-summer,"Kalamkari printed cotton fabric is suitable for making dresses, skirts, kurta, kurti, traditonal ethnics, ethnic wear, tops, short kurta, tops, long dresses and more.",Kalamkari printed fabric is a cotton cambric based plain weave fabric. Kalamkari painting is the best specimen of natural colour artwork. Kalamkari is an art form of hand printing or block printing normally done on cotton fabrics using only vegetable dyes or natural colours.,"4138220-(4).jpg, 4138220-(2).jpg, 4138220-(3).jpg","kalamkari prints, printed kalamkari, kalamkari, cotton kalamkari prints, kalamkari design, printed kalamkari, handcrafted fabric, fabric for kurtis, fabric for kurtas, fabric for suits, fabric for tops, fabric for blouses, fabric for skirts, fabric for short kurta, 4138220 , beige, blue",no ,in_stock,published 
Kalamkari Prints-2379619,Cotton Cambric ,Plain ,44 Inches ,"Lightweight/ Soft Feel/ Used for making suits, kurta, dresses, skirts, tops, blouses, kaftan, palazzo etc.",100% Cotton ,Multicolour,0.2,2379619,220 Per Meter ,220,cotton>prints-cotton | prints>traditional-ethnics | latest-fabrics | spring-summer,"Kalamkari printed cotton fabric is suitable for making dresses, skirts, kurta, kurti, traditonal ethnics, ethnic wear, tops, short kurta, tops, long dresses and more.",Kalamkari printed fabric is a cotton cambric based plain weave fabric. Kalamkari painting is the best specimen of natural colour artwork. Kalamkari is an art form of hand printing or block printing normally done on cotton fabrics using only vegetable dyes or natural colours.,"2379619-(4).jpg, 2379619-(2).jpg, 2379619-(3).jpg","kalamkari prints, printed kalamkari, kalamkari, cotton kalamkari prints, kalamkari design, printed kalamkari, handcrafted fabric, fabric for kurtis, fabric for kurtas, fabric for suits, fabric for tops, fabric for blouses, fabric for skirts, fabric for short kurta, 2379619 , red",no ,in_stock,published 
Printed Spun-4769520-1,Spun ,Twill ,44 Inches ,"Medium Weight/ Used for making dresses, suits, skirts, blouses, tops, kurtis, kaftan, palazzo, suits and more.",100% Polyester ,Multicolour,0.2,4769520-1,570 Per Meter ,570,polyester-fabrics>prints | prints>poly-prints | autumn-winter | latest-fabrics | trending-fabrics,"Printed Spun fabric is commonly used for making winter suits, kurta, blouses, suits, kurtis, tops, tunics, stoles, scarves, dresses, skirts etc.","Spun Poly or otherwise known as Spun Polyester is made by spinning 100% polyester fibers into yarns. Spun poly is guaranteed to last twice, does not require ironing, does not shrink, has greater wash-ability, has color-fast material that doesn't stain and Looks, breathes, and feels better.","4769520-1-(4).jpg, 4769520-1-(2).jpg, 4769520-1-(3).jpg","printed spun, spun prints, printed spun fabric, spun, winter fabric, spun prints, winter fabric, fabric for winter kurtis, fabric for tops, fabric for kurtis, fabric for suits, fabric for topz, fabric for nehru jackets, fabric for jackets, fabric for blouses, fabric for shawls, fabric for dresses, fabric for skirts, poly spun, polyester spun fabric, printed fabric, red, yellow, orange, 4769520-1",no ,in_stock,published 
Printed Spun-4769520-2,Spun ,Twill ,44 Inches ,"Medium Weight/ Used for making dresses, suits, skirts, blouses, tops, kurtis, kaftan, palazzo, suits and more.",100% Polyester ,Multicolour,0.2,4769520-2,570 Per Meter ,570,polyester-fabrics>prints | prints>poly-prints | autumn-winter | latest-fabrics | trending-fabrics,"Printed Spun fabric is commonly used for making winter suits, kurta, blouses, suits, kurtis, tops, tunics, stoles, scarves, dresses, skirts etc.","Spun Poly or otherwise known as Spun Polyester is made by spinning 100% polyester fibers into yarns. Spun poly is guaranteed to last twice, does not require ironing, does not shrink, has greater wash-ability, has color-fast material that doesn't stain and Looks, breathes, and feels better.","4769520-2-(4).jpg, 4769520-2-(2).jpg, 4769520-2-(3).jpg","printed spun, spun prints, printed spun fabric, spun, winter fabric, spun prints, winter fabric, fabric for winter kurtis, fabric for tops, fabric for kurtis, fabric for suits, fabric for topz, fabric for nehru jackets, fabric for jackets, fabric for blouses, fabric for shawls, fabric for dresses, fabric for skirts, poly spun, polyester spun fabric, printed fabric, red, yellow, orange, 4769520-2",no ,in_stock,published 
