name,fabric_name,weave,width,weight_feel_suitability,content,design_name_color,shipping_weight,design_no,price_text,ragular_price,categories,short_description,long_description,images,tags,manage_stock,stock,status
Printed Spun-6813917,Printed Spun ,Twill ,44 Inches ,"Medium Weight/ Used for making dresses, suits, skirts, blouses, tops, kurtis, kaftan, palazzo, suits and more.",100% Polyester ,Multicolour ,0.2,6813917,320 Per Meter ,320,polyester-fabrics>prints | prints>poly-prints | latest-fabrics | autumn-winter,"Printed Spun fabric is commonly used for making winter suits, kurta, blouses, suits, kurtis, tops, tunics, stoles, scarves, dresses, skirts etc.","Spun Poly or otherwise known as Spun Polyester is made by spinning 100% polyester fibers into yarns. Spun poly is guaranteed to last twice, does not require ironing, does not shrink, has greater wash-ability, has color-fast material that doesn't stain and Looks, breathes, and feels better.","6813917-(4).jpg, 6813917-(2).jpg, 6813917-(3).jpg","printed spun, spun prints, spun, fabric for winters, winter favrci, fabric for kurtis, fabric for kurtas, fabric for winter wear, fabric for nehru jacket, fabric for achkan, fabric for palajams, fabric for tops, fabric for skirts, fabric for dresses, fabric for gowns, fabric for shawls, fabric for stoles, fabric for kurtis, fabric for suits, fabric for half jackets, 6813917",no ,in_stock,Published
Printed Cotton Cambric-2ZE62-2,Cotton Cambric ,Plain ,44 Inches ,"Lightweight/ Soft Feel/ Used for making suits, kurta, dresses, skirts, tops, blouses, kaftan, palazzo etc.",100% Cotton ,Multicolour ,0.2,2ZE62-2,150 Per Meter ,150,cotton>prints-cotton | latest-fabrics | spring-summer | prints>cotton-prints,"Printed cotton cambric is suitable for making dresses, skirts, tops, kurti, kaftan, palazzo, blouses, tunics, kids wear and more.","Printed cotton cambric is a plain weave cotton based fabric. One of the finest and most dense kinds of cloth, is a lightweight plain-weave cloth, known as batiste. It is used for making dresses and household items.","2ZE62-2-(4).jpg, 2ZE62-2-(2).jpg, 2ZE62-2-(3).jpg","printed cotton cambric, cotton cambric prints, printed cotton, cotton prints, fabric for kurtis, fabric for tops, fabric for blouses, fabric for kurtas, fabric for palazzo, fabric for skirts, fabric for dresses, fabric for ethnic wear, fabric for masks, fabric for kaftans, fabric for kids wear, 2ZE62-2 ",no ,in_stock,Published
Chiffon Butta-2165319,Chiffon Butta ,Dobby ,44 Inches ,"Lightweight & Sheer/ Used for making sarees, gowns, dresses, kurtis, tops, stoles etc.",90% Polyester 10% Lurex ,Bottle Green ,0.2,2165319,180 Per Meter ,180,polyester-fabrics>solids | latest-fabrics | spring-summer,"Chiffon butta fabric, used for making sarees, dupatta, skirts, tops, kurtis, evening wear, gowns etc.","Chiffon butta fabric, made of polyester with lurex butta. Chiffon is incredibly lightweight and airy, which is what gives dresses such gorgeous flow and movement. Commonly used for making dresses like suits, kurtis, ethnic wear, traditional dresses, sarees, partywear outfit etc.","2165319-(4).jpg, 2165319-(2).jpg, 2165319-(3).jpg","chiffon butta, chiffon, poly chiffon butta, butta, butta work, chiffon fabric, fabric for kurtis, afbric for tops, fabric for skirts, fabric for dresses, fabric for sarees, fabric for dupattas, fabric for stole,s fabric for scarves, fabric for sleeves, fabric for gowns, 2165319",no ,in_stock,Published
Printed Chiffon Lurex Stripes-2550118,Printed Chiffon lurex Fabric ,Plain ,44 Inches ,"Lightweight & soft drape fabric/ Suitable for making dresses, suits, kurti, saree, tops, dupatta and more.",100% Polyester ,Green ,0.2,2550118,160 Per Meter ,160,polyester-fabrics>prints | prints>poly-prints | latest-fabrics | spring-summer,"Printed chiffon lurex stripes fabric is suitable for making dresses, skirts, tops, kurti, kaftan, flowy gowns, chiffon saree, ladies wear and more.","Printed chiffon lurex stripes fabric is a polyester base plain weave fabric. Chiffon is a lightweight, balanced plain-woven sheer fabric. The twist in the crepe yarns puckers the fabric lighttly in both directions after weaving, giving it some stretch and a lightly rough feel.","2550118-(4).jpg, 2550118-(2).jpg, 2550118-(3).jpg","printed chiffon lurex stripes, chiffon lurex stripes, stripes, printed chiffon, chiffon prints, lurex stripes, chiffon fabric, fabric for kurtis, afbric for tops, fabric for skirts, fabric for dresses, fabric for sarees, fabric for dupattas, fabric for stole,s fabric for scarves, fabric for sleeves, fabric for gowns, 2550118",no ,in_stock,Published
Printed Cotton Cambric-4389418,Cotton Cambric ,Plain ,44 Inches ,"Lightweight/ Soft Feel/ Used for making suits, kurta, dresses, skirts, tops, blouses, kaftan, palazzo etc.",100% Cotton ,Multicolour ,0.2,4389418,160 Per Meter ,160,cotton>prints-cotton | latest-fabrics | spring-summer | prints>cotton-prints,"Printed cotton cambric is suitable for making dresses, skirts, tops, kurti, kaftan, palazzo, blouses, tunics, kids wear and more.","Printed cotton cambric is a plain weave cotton based fabric. One of the finest and most dense kinds of cloth, is a lightweight plain-weave cloth, known as batiste. It is used for making dresses and household items.","4389418-(4).jpg, 4389418-(2).jpg, 4389418-(3).jpg","printed cotton cambric, cotton cambric prints, printed cotton, cotton prints, fabric for kurtis, fabric for tops, fabric for blouses, fabric for kurtas, fabric for palazzo, fabric for skirts, fabric for dresses, fabric for ethnic wear, fabric for masks, fabric for kaftans, fabric for kids wear, 4389418",no ,in_stock,Published
Printed Cotton Cambric-4558218,Cotton Cambric ,Plain ,44 Inches ,"Lightweight/ Soft Feel/ Used for making suits, kurta, dresses, skirts, tops, blouses, kaftan, palazzo etc.",100% Cotton ,Pink ,0.2,4558218,160 Per Meter ,160,cotton>prints-cotton | latest-fabrics | spring-summer | prints>cotton-prints,"Printed cotton cambric is suitable for making dresses, skirts, tops, kurti, kaftan, palazzo, blouses, tunics, kids wear and more.","Printed cotton cambric is a plain weave cotton based fabric. One of the finest and most dense kinds of cloth, is a lightweight plain-weave cloth, known as batiste. It is used for making dresses and household items.","4558218-(4).jpg, 4558218-(2).jpg, 4558218-(3).jpg","printed cotton cambric, cotton cambric prints, printed cotton, cotton prints, fabric for kurtis, fabric for tops, fabric for blouses, fabric for kurtas, fabric for palazzo, fabric for skirts, fabric for dresses, fabric for ethnic wear, fabric for masks, fabric for kaftans, fabric for kids wear, 4558218",no ,in_stock,Published
Printed Cotton Cambric-6810917,Cotton Cambric ,Plain ,44 Inches ,"Lightweight/ Soft Feel/ Used for making suits, kurta, dresses, skirts, tops, blouses, kaftan, palazzo etc.",100% Cotton ,Green ,0.2,6810917,160 Per Meter ,160,cotton>prints-cotton | latest-fabrics | spring-summer | prints>cotton-prints,"Printed cotton cambric is suitable for making dresses, skirts, tops, kurti, kaftan, palazzo, blouses, tunics, kids wear and more.","Printed cotton cambric is a plain weave cotton based fabric. One of the finest and most dense kinds of cloth, is a lightweight plain-weave cloth, known as batiste. It is used for making dresses and household items.","6810917-(4).jpg, 6810917-(2).jpg, 6810917-(3).jpg, 6810917-(5)","printed cotton cambric, cotton cambric prints, printed cotton, cotton prints, fabric for kurtis, fabric for tops, fabric for blouses, fabric for kurtas, fabric for palazzo, fabric for skirts, fabric for dresses, fabric for ethnic wear, fabric for masks, fabric for kaftans, fabric for kids wear, 6810917",no ,in_stock,Published
Printed Chanderi Fabric-2475719,Chanderi Fabric ,Plain ,54 Inches ,"Lightweight & Sheer fabric/ Suitable for making dresses, saree, stoles, dupatta, blouses, skirts, lehenga, suits, kurti and more.",70% Cotton 30% Artsilk,Black & White ,0.2,2475719,550 Per Meter ,550,cotton>cotton-blends | prints>chanderi | latest-fabrics | spring-summer,"Commonly used for making or designing shirts, skirts, suits, sarees, ethnic wear, dresses, scarves, blouses, kurti etc.","Chanderi fabric, made from blend of polyamide and polyester. Chanderi fabric is a lightweight, silky and comfortable weave, it has a soft hand-feel and a sturdy, silken drape, along with a versatility that makes it suitable for an extended variety of garment uses. Commonly used for making dresses.","2475719-(4).jpg, 2475719-(2).jpg, 2475719-(3).jpg","printed chanderi, printed chanderi fabric, chanderi prints, fabric for kurtis, fabric for sarees, fabric for kurtas, fabric for tops, fabric for blouses, fabric for skirts, fabric for dresses, fabric for gowns, fabric for kaftans, fabric for dupattas, fabric for scarves, fabric for ethnic wear, 2475719",no ,in_stock,Published
Printed Chanderi Fabric-2475819,Chanderi Fabric ,Plain ,54 Inches ,"Lightweight & Sheer fabric/ Suitable for making dresses, saree, stoles, dupatta, blouses, skirts, lehenga, suits, kurti and more.",70% Cotton 30% Artsilk,Multicolour ,0.2,2475819,550 Per Meter ,550,cotton>cotton-blends | prints>chanderi | latest-fabrics | spring-summer,"Commonly used for making or designing shirts, skirts, suits, sarees, ethnic wear, dresses, scarves, blouses, kurti etc.","Chanderi fabric, made from blend of polyamide and polyester. Chanderi fabric is a lightweight, silky and comfortable weave, it has a soft hand-feel and a sturdy, silken drape, along with a versatility that makes it suitable for an extended variety of garment uses. Commonly used for making dresses.","2475819-(4).jpg, 2475819-(2).jpg, 2475819-(3).jpg","printed chanderi, printed chanderi fabric, chanderi prints, fabric for kurtis, fabric for sarees, fabric for kurtas, fabric for tops, fabric for blouses, fabric for skirts, fabric for dresses, fabric for gowns, fabric for kaftans, fabric for dupattas, fabric for scarves, fabric for ethnic wear, 2475819",no ,in_stock,Published
Printed Cotton Satin-6813717,Cotton Satin ,Satin ,44 Inches ,"Lightweight & Soft Fabric/ Suitable for making suits, skirts, kurta, kurti, blouses, kids wear, cushions and more.",100% Cotton ,Multicolour ,0.2,6813717,580 Per Meter ,580,cotton>prints-cotton | latest-fabrics | spring-summer | prints>cotton-prints,"Printed cotton satin fabric, suitable for making shirts, dresses, skirts, tops, kurtis, blouses, kids wear, cushion covers, curtains etc.","Printed Cotton Satin fabric is commonly formed on satin weave of 100% cotton fibres. It has satin finish printed fabric known for its, silky texture and for the smooth and shiny appearance. Commonly used for making apparels.","6813717-(4).jpg, 6813717-(2).jpg, 6813717-(3).jpg","printed cotton satin lycra, cotton satin lycra, printed cotton satin, ctton satin prints, cotton satin lycra prints, cotton satin, fabric for kurtis, fabric for tops, fabric for blouses, fabric for kurtas, fabric for palazzo, fabric for skirts, fabric for dresses, fabric for ethnic wear, fabric for masks, fabric for kaftans, fabric for kids wear, 6813717",no ,in_stock,Published
