name,fabric_name,weave,width,weight_feel_suitability,content,design_name_color,shipping_weight,design_no,price_text,ragular_price,categories,short_description,long_description,images,tags,manage_stock,stock,status
Cotton Yarndyed Stripes-2332920,Cotton Yarndyed Stripes,Plain ,44 Inches ,"Lightweight & soft/ Suitable for making shirts, dresses, skirts, tops, kids wear, cushions and more.",100% Cotton ,Pink ,0.2,2332920,190 Per Meter ,190,cotton>yarn-dyeds-checks-and-stripes | latest-fabrics | trending-fabrics | spring-summer,"Cotton yarndyed stripe fabric is a lightweight & soft fabric, suitable for making dresses, skirts, tops, kurti, kurta, kids wear, cushion covers and more.","Cotton yarndyed stripe fabric is a lightweight & soft cotton based fabric formed on slub weave. Yarn-dyed fabric means the thread (or yarn) has been dyed first, before weaving. This fabric is suitable for making dresses, shirts, skirts etc.","2332920-(4).jpg, 2332920-(2).jpg, 2332920-(3).jpg","cotton yarndyed stripes, yarndyed stripes, yarndyed fabrics, yarndyed, stripes, cotton stripes, fabric for shirts, fabric for mens shirt, fabric for kurtas, fabric for kurtis, fabric for dresses, fabric for tops, fabric for skirts, fabric for trousers, shirting fabrics, fabric for cushion covers, fabric for curtains, fabric for kids wear, pink, peach, 2332920",no ,in_stock,Published
Cotton Yarndyed Stripes-2333020,Cotton Yarndyed Stripes,Plain ,44 Inches ,"Lightweight & soft/ Suitable for making shirts, dresses, skirts, tops, kids wear, cushions and more.",100% Cotton ,Pink & Green ,0.2,2333020,190 Per Meter ,190,cotton>yarn-dyeds-checks-and-stripes | latest-fabrics | trending-fabrics | spring-summer,"Cotton yarndyed stripe fabric is a lightweight & soft fabric, suitable for making dresses, skirts, tops, kurti, kurta, kids wear, cushion covers and more.","Cotton yarndyed stripe fabric is a lightweight & soft cotton based fabric formed on slub weave. Yarn-dyed fabric means the thread (or yarn) has been dyed first, before weaving. This fabric is suitable for making dresses, shirts, skirts etc.","2333020-(4).jpg, 2333020-(2).jpg, 2333020-(3).jpg","cotton yarndyed stripes, yarndyed stripes, yarndyed fabrics, yarndyed, stripes, cotton stripes, fabric for shirts, fabric for mens shirt, fabric for kurtas, fabric for kurtis, fabric for dresses, fabric for tops, fabric for skirts, fabric for trousers, shirting fabrics, fabric for cushion covers, fabric for curtains, fabric for kids wear, pink, green, 2333020",no ,in_stock,Published
Plain Rib Knit-4739120,Plain Rib Knit ,Rib ,20 Inches ,"Heavy weight & Soft/ Used for making sweaters, jackets, kids wear, caps, dresses, tops and more.",100% Acrylic,Grey ,0.2,4739120,1980 Per Kg ,1980,autumn-winter | latest-fabrics | trending-fabrics,"Plain rib knitted fabric, suitable for making sweaters, jackets, kids wear, caps, dresses, tops, kids wear and more.","Plain rib knit fabric is a acrylic yarn knitted fabric with alternating raised and lowered rows. More elastic and durable than plain knits, they tend to fit the body and are used frequently in sweaters, jackets, kids wear, caps, dresses, tops and more.","4739120-(4).jpg, 4739120-(2).jpg, 4739120-(3).jpg","plain rib knit, rib knit, knitted fabric, rib, fabric for sweater, fabric for jackets, fabric for kids wear, fabric for winter caps, fabric for tops, fabric for winter dresses, fabric for dresses, fabric for winters, 4739120 , black rib knit ",no ,in_stock,Published
Plain Rib Knit-256720,Plain Rib Knit ,Rib ,20 Inches ,"Heavy weight & Soft/ Used for making sweaters, jackets, kids wear, caps, dresses, tops and more.",100% Acrylic,Beige ,0.2,256720,1980 Per Kg ,1980,autumn-winter | latest-fabrics | trending-fabrics,"Plain rib knitted fabric, suitable for making sweaters, jackets, kids wear, caps, dresses, tops, kids wear and more.","Plain rib knit fabric is a acrylic yarn knitted fabric with alternating raised and lowered rows. More elastic and durable than plain knits, they tend to fit the body and are used frequently in sweaters, jackets, kids wear, caps, dresses, tops and more.","256720-(4).jpg, 256720-(2).jpg, 256720-(3).jpg","plain rib knit, rib knit, knitted fabric, rib, fabric for sweater, fabric for jackets, fabric for kids wear, fabric for winter caps, fabric for tops, fabric for winter dresses, fabric for dresses, fabric for winters, 256720 , beige rib knit ",no ,in_stock,Published
Printed Wool fabric-5127920,Printed Wool Fabric ,Twill,40 Inches ,"Lightweight & soft/ Suitable for making dresses, suits, kurti, nehru jackets, winter dresses, blouses, skirts, etc",100% Wool ,Orange ,0.2,5127920,1020 Per Meter ,1020,silks-wools>wool-prints | latest-fabrics | trending-fabrics | autumn-winter,"Printed wool fabric, suitable for making dresses, suits, stoles, skirts, tops, kurtis, kids wear, woollen wear, woollen dresses etc.","Printed wool fabric is a twill weave fabric made of 100% Wool. Wool fabrics have excellent absorbency, moisture regain is high, they tend to be warmer than others. Wool have good elasticity and resiliency.","5127920-(4).jpg, 5127920-(2).jpg, 5127920-(3).jpg","printed wool fabric, wool prints, wool, printed wool, fabric for winters, fabric for kurtis, fabric for kurtas, fabric for suits, fabric for tops, fabric for winter dresses, fabric for skirts, fabric for blouses, fabric for dresses, fabric for nehru jacket, fabric for shawls, fabric for wollen wear, fabric for stole, fabric for kids wear, 5127920",no ,in_stock,Published
Printed Wool fabric-5129020,Printed Wool Fabric ,Twill,40 Inches ,"Lightweight & soft/ Suitable for making dresses, suits, kurti, nehru jackets, winter dresses, blouses, skirts, etc",100% Wool ,Multicolour,0.2,5129020,1020 Per Meter ,1020,silks-wools>wool-prints | latest-fabrics | trending-fabrics | autumn-winter,"Printed wool fabric, suitable for making dresses, suits, stoles, skirts, tops, kurtis, kids wear, woollen wear, woollen dresses etc.","Printed wool fabric is a twill weave fabric made of 100% Wool. Wool fabrics have excellent absorbency, moisture regain is high, they tend to be warmer than others. Wool have good elasticity and resiliency.","5129020-(4).jpg, 5129020-(2).jpg, 5129020-(3).jpg","printed wool fabric, wool prints, wool, printed wool, fabric for winters, fabric for kurtis, fabric for kurtas, fabric for suits, fabric for tops, fabric for winter dresses, fabric for skirts, fabric for blouses, fabric for dresses, fabric for nehru jacket, fabric for shawls, fabric for wollen wear, fabric for stole, fabric for kids wear, 5129020",no ,in_stock,Published
Printed Wool fabric-5128120,Printed Wool Fabric ,Twill,40 Inches ,"Lightweight & soft/ Suitable for making dresses, suits, kurti, nehru jackets, winter dresses, blouses, skirts, etc",100% Wool ,Multicolour,0.2,5128120,1020 Per Meter ,1020,silks-wools>wool-prints | latest-fabrics | trending-fabrics | autumn-winter,"Printed wool fabric, suitable for making dresses, suits, stoles, skirts, tops, kurtis, kids wear, woollen wear, woollen dresses etc.","Printed wool fabric is a twill weave fabric made of 100% Wool. Wool fabrics have excellent absorbency, moisture regain is high, they tend to be warmer than others. Wool have good elasticity and resiliency.","5128120-(4).jpg, 5128120-(2).jpg, 5128120-(3).jpg","printed wool fabric, wool prints, wool, printed wool, fabric for winters, fabric for kurtis, fabric for kurtas, fabric for suits, fabric for tops, fabric for winter dresses, fabric for skirts, fabric for blouses, fabric for dresses, fabric for nehru jacket, fabric for shawls, fabric for wollen wear, fabric for stole, fabric for kids wear, 5128120 , floral print ",no ,in_stock,Published
Printed Wool fabric-5129120,Printed Wool Fabric ,Twill,40 Inches ,"Lightweight & soft/ Suitable for making dresses, suits, kurti, nehru jackets, winter dresses, blouses, skirts, etc",100% Wool ,Multicolour,0.2,5129120,1020 Per Meter ,1020,silks-wools>wool-prints | latest-fabrics | trending-fabrics | autumn-winter,"Printed wool fabric, suitable for making dresses, suits, stoles, skirts, tops, kurtis, kids wear, woollen wear, woollen dresses etc.","Printed wool fabric is a twill weave fabric made of 100% Wool. Wool fabrics have excellent absorbency, moisture regain is high, they tend to be warmer than others. Wool have good elasticity and resiliency.","5129120-(4).jpg, 5129120-(2).jpg, 5129120-(3).jpg","printed wool fabric, wool prints, wool, printed wool, fabric for winters, fabric for kurtis, fabric for kurtas, fabric for suits, fabric for tops, fabric for winter dresses, fabric for skirts, fabric for blouses, fabric for dresses, fabric for nehru jacket, fabric for shawls, fabric for wollen wear, fabric for stole, fabric for kids wear, 5129120 , paisley design",no ,in_stock,Published
Printed Wool fabric-5128820,Printed Wool Fabric ,Twill,40 Inches ,"Lightweight & soft/ Suitable for making dresses, suits, kurti, nehru jackets, winter dresses, blouses, skirts, etc",100% Wool ,Multicolour,0.2,5128820,1020 Per Meter ,1020,silks-wools>wool-prints | latest-fabrics | trending-fabrics | autumn-winter,"Printed wool fabric, suitable for making dresses, suits, stoles, skirts, tops, kurtis, kids wear, woollen wear, woollen dresses etc.","Printed wool fabric is a twill weave fabric made of 100% Wool. Wool fabrics have excellent absorbency, moisture regain is high, they tend to be warmer than others. Wool have good elasticity and resiliency.","5128820-(4).jpg, 5128820-(2).jpg, 5128820-(3).jpg","printed wool fabric, wool prints, wool, printed wool, fabric for winters, fabric for kurtis, fabric for kurtas, fabric for suits, fabric for tops, fabric for winter dresses, fabric for skirts, fabric for blouses, fabric for dresses, fabric for nehru jacket, fabric for shawls, fabric for wollen wear, fabric for stole, fabric for kids wear, 5128820 , floral print ",no ,in_stock,Published
Printed Wool fabric-5128320,Printed Wool Fabric ,Twill,40 Inches ,"Lightweight & soft/ Suitable for making dresses, suits, kurti, nehru jackets, winter dresses, blouses, skirts, etc",100% Wool ,Multicolour,0.2,5128320,1020 Per Meter ,1020,silks-wools>wool-prints | latest-fabrics | trending-fabrics | autumn-winter,"Printed wool fabric, suitable for making dresses, suits, stoles, skirts, tops, kurtis, kids wear, woollen wear, woollen dresses etc.","Printed wool fabric is a twill weave fabric made of 100% Wool. Wool fabrics have excellent absorbency, moisture regain is high, they tend to be warmer than others. Wool have good elasticity and resiliency.","5128320-(4).jpg, 5128320-(2).jpg, 5128320-(3).jpg","printed wool fabric, wool prints, wool, printed wool, fabric for winters, fabric for kurtis, fabric for kurtas, fabric for suits, fabric for tops, fabric for winter dresses, fabric for skirts, fabric for blouses, fabric for dresses, fabric for nehru jacket, fabric for shawls, fabric for wollen wear, fabric for stole, fabric for kids wear, 5128320 , paisley print ",no ,in_stock,Published
