name,fabric_name,weave,width,weight_feel_suitability,content,design_name_color,shipping_weight,design_no,price_text,ragular_price,categories,short_description,long_description,images,tags,manage_stock,stock,status
Swiss Cotton Jacquard-6816417,Swiss Cotton ,Jacquard ,44 Inches ,"Lightweight & soft/ Used for making dresses, skirts, tops, kurti, kurta and soft furnishing.",100% Cotton ,Pink ,0.2,6816417,480 Per Meter ,480,cotton>prints-cotton | prints>cotton-prints | latest-fabrics | spring-summer,"Siss cotton jacquard fabric, suitable for making dresse, skirts, kurtis, kurta, cushion covers, household items, home furnshing and more.

","Swiss cotton jacquard fabric is a cotton based fabric, formed on jacquard weave. Jacquard weave is a highly textured fabric with patterns that are woven, rather than printed into the fabric. Jacquard Fabrics have a raised pattern design.

","6816417-(4).jpg, 6816417-(2).jpg, 6816417-(3).jpg","swiss cotton jacquard, swiss cotton, cotton jacquard, swiss jacquard, jacquard, cotton, fabric for kurtis, fabric for tops, fabric for dresses, fabric for skirts, fabric for kurtas, fabric for blouses, fabric for cushion covers, fabric for gowns, fabric for kids dresses, fabric for kids wear, fabric for curtains, 6816417 , floral jacquard , printed jacquard , fine cotton",no ,in_stock,Published
Printed Cotton Cambric-26992-14,Cotton Cambric ,Pain ,44 Inches ,"Lightweight & soft/ Used for making dresses, skirts, tops, kurti, kurta and soft furnishing.",100% Cotton ,Multicolour ,0.2,26992-14,160 Per Meter ,160,cotton>prints-cotton | prints>cotton-prints | latest-fabrics | spring-summer,"Printed cotton cambric is suitable for making dresses, skirts, tops, kurti, kaftan, palazzo, blouses, tunics, kids wear and more.

","Printed cotton cambric is a plain weave cotton based fabric. One of the finest and most dense kinds of cloth, is a lightweight plain-weave cloth, known as batiste. It is used for making dresses and household items.

","26992-14-(4).jpg, 26992-14-(2).jpg, 26992-14-(3).jpg","printed cotton cambric, printed cotton, cotton cambric prints, cotton prints, cambric prints, cotton cambric, fabric for kurtis, fabric for suit, fabric for kurtas, fabric for tops, fabric for blouses, fabric for cushion covers, fabric for tunic, fabric for dupattas, fabric for kids wear, fabric for skirts, fabric for dresses, fabric for kaftans, fabric for palazzo, 26992-14",no ,in_stock,Published
Printed Cotton Cambric-6808817,Cotton Cambric ,Pain ,44 Inches ,"Lightweight & Soft/ Suitable for making dresses, skirts, tops, kurti, kurta, dupatta and more.
",100% Cotton ,Multicolour ,0.2,6808817,160 Per Meter ,160,cotton>prints-cotton | prints>cotton-prints | latest-fabrics | spring-summer,"Printed cotton cambric is suitable for making dresses, skirts, tops, kurti, kaftan, palazzo, blouses, tunics, kids wear and more.

","Printed cotton cambric is a plain weave cotton based fabric. One of the finest and most dense kinds of cloth, is a lightweight plain-weave cloth, known as batiste. It is used for making dresses and household items.

","6808817-(4).jpg, 6808817-(2).jpg, 6808817-(3).jpg","printed cotton cambric, printed cotton, cotton cambric prints, cotton prints, cambric prints, cotton cambric, fabric for kurtis, fabric for suit, fabric for kurtas, fabric for tops, fabric for blouses, fabric for cushion covers, fabric for tunic, fabric for dupattas, fabric for kids wear, fabric for skirts, fabric for dresses, fabric for kaftans, fabric for palazzo, 6808817",no ,in_stock,Published
Printed Summer Cool Georgette-2133220,Summer Cool Georgette ,Plain ,54 Inches ,"Heavy Georgette & textured/ Used for making dresses, skirts, blouses, tops, kurtis, kaftan etc.
",100% Polyester ,Brown ,0.2,2133220,220 Per Meter ,220,polyester-fabrics>prints | prints>poly-prints | latest-fabrics | spring-summer,"Printed summer cool georgette fabric, suitable for making dresses, skirts, tops, kurtis, kaftan, blouses, saree, dupatta, palazzo etc.

","Summer Cool georgette fabric is a polyester based heavy georgette fabric on plain weave. Summer cool georgette is well known for its texture and for nice quality, known as poly moss. It is used for designing and making dresses.

","2133220-(4).jpg, 2133220-(2).jpg, 2133220-(3).jpg","printed summer cool georgette, summer cool georgette prints, printed georgette, printed fabric, summer cool georgette, fabric for kurtis, fabric for tops, fabric for kaftans, fabric for sarees, fabric fo kirts, fabric for dresses, fabric for gowns, fabric for dupattas, fabric for scarfs, fabric for palazzo, fabric for blouses, 2133220",no ,in_stock,Published
Printed Cotton Poplin-6817617,Cotton Poplin ,Plain ,58 Inches ,"Lightweight & soft/ Suitable for mens shirts, dresses, suits, tops, kurti, tops, skirts and more.
",100% Cotton ,White,0.2,6817617,370 Per Meter ,370,cotton>prints-cotton | prints>cotton-prints | latest-fabrics | spring-summer,"Printed cotton poplin suitable for making shirts, dresses, skirts, tops, kurti, blouses, kids wear, bed coverings and more.

","Printed cotton poplin fabric is a cotton based fabric formed on plain weave. Poplin, also called tabinet (or tabbinet), is a strong fabric in a plain weave. Being a plain under/over weave, if the weft and warp threads are of the same material and size, the effect is a plain woven surface with no ribbing.

","6817617-(4).jpg, 6817617-(2).jpg, 6817617-(3).jpg","printed cotton poplin, cotton poplin prints, printed cotton, printed poplin, cotton poplin, poplin prints, poplin, fabric for shirts, fabric for kurtas, fabric for kurtis, fabric for suits, fabric for tops fabric for blouses, fabric for skirts, fabric for dresses, fabric for pajamas, fabric for night suits, night suit fabric, fabric formens shirts, shirting fabric, 6817617 , floral print ",no ,in_stock,Published
Printed Rayon Fabric-2ZJ3,Rayon Fabric ,Plain ,54 Inches ,"Lightweight & Soft/ Used for making dresses, skirts, tops, kurtis, palazzo, kaftan etc.
",100%  Viscose,Multicolour ,0.2,2ZJ3,250 Per Meter ,250,rayons-modals>prints-rayon-modals | latest-fabrics | spring-summer,"Printed rayon fabric, suitable for making dresses, skirts, tops, kurtis, palazzo, tunics, kaftan, cushion covers etc.

","Printed rayon fabric is a rayon based fabric. Rayon is a fiber that is neither totally natural not totally synthetic. Regenerated from cellulose, rayon is a manufactured fabric. Developed as a cheap substitute for silk. the fabric has been used in shirts as well as skirts, evening gowns and dresses of women.

","2ZJ3-(4).jpg, 2ZJ3-(2).jpg, 2ZJ3-(3).jpg","printed rayon  fabric, printed rayon, rayon prints, viscose prints fabric, viscose print, rayon, viscose, fabric for shirts, fabric for kurtis, fabric for dresses, fabric for skirts, fabric for tops, fabric for blouses, fabric for palazzo, fabric for tunic, fabric for kaftans, fabric for gowns, 2ZJ3 , tropical print ",no ,in_stock,Published
Printed Cotton Voile-212303,Cotton Voile ,Plain ,44 Inches ,"Lightweight & semi sheer/ Suitable for making dresses, tops, kurti, blouses, scarves and more.
",100% Cotton ,Multicolour ,0.2,212303,130 Per Meter ,130,cotton>prints-cotton | prints>cotton-prints | latest-fabrics | spring-summer,"Printed cotton voile fabric is suitable for making dresses, skirts, tops, kurti, blouses, kaftan, scarves, kids wear and more.

","Printed cotton voile fabric is a plain weave cotton based fabric. Cotton Voile is known for its light weight, the fabric is mostly used in soft furnishing designing dresses. Commly used for making or designing dresses.

","212303-(4).jpg, 212303-(2).jpg, 212303-(3).jpg","printed cotton voile, cotton voile prints, printed voil, voile prints, printed cotton, cotton voile, voile, cotton, fabric for kurtis, fabric for kurtas, fabric for tops, fabric for blouses, fabric for kaftans, fabric for skirts, fabric for dresses, fabric for tunic, fabric for scarves, fabric for stoles, fabric for kids wear, fabric for night suits, 212303",no ,in_stock,Published
Printed Cotton Poplin-6814317,Cotton Poplin ,Plain ,44 Inches ,"Lightweight & soft/ Suitable for mens shirts, dresses, suits, tops, kurti, tops, skirts and more.
",100% Cotton ,Light Brown ,0.2,6814317,160 Per Meter ,160,cotton>prints-cotton | prints>cotton-prints | latest-fabrics | spring-summer,"Printed cotton poplin suitable for making shirts, dresses, skirts, tops, kurti, blouses, kids wear, bed coverings and more.

","Printed cotton poplin fabric is a cotton based fabric formed on plain weave. Poplin, also called tabinet (or tabbinet), is a strong fabric in a plain weave. Being a plain under/over weave, if the weft and warp threads are of the same material and size, the effect is a plain woven surface with no ribbing.

","6814317-(4).jpg, 6814317-(2).jpg, 6814317-(3).jpg","printed cotton poplin, cotton poplin prints, printed cotton, printed poplin, cotton poplin, poplin prints, poplin, fabric for shirts, fabric for kurtas, fabric for kurtis, fabric for suits, fabric for tops fabric for blouses, fabric for skirts, fabric for dresses, fabric for pajamas, fabric for night suits, night suit fabric, fabric formens shirts, shirting fabric, 6814317",no ,in_stock,Published
Cotton Lurex Fabric-623219,Cotton Lurex ,Plain ,44 Inches ,"Lightweight & soft/ Suitable for making dresses, skirts, tops, blouses, skirts, lining of dresses and more.
","65% Cotton 35% Lurex
",Golden Yellow ,0.2,623219,220 Per Meter ,220,cotton>solids | latest-fabrics | spring-summer,"Cotton lurex fabric, suitable for making dresses, skirts, tops, blouses, suits, kurti, lining of designer wear and more.

","Cotton lurex fabric is a cotton based fabric formed with lurex fiber in it. Cotton, as a natural cellulose fiber, has a lot of characteristics, such as comfortable Soft hand, good absorbency, Color retention, Prints well, Machine-washable, Dry-cleanable, Good strength, Drapes well. Commonly used for designing dresses.

","623219-(4).jpg, 623219-(2).jpg, 623219-(3).jpg","cotton lurex fabric, cotton lurex, lurex fabric, lurex, fabric for kurtis, fabric for kurtas, fabric for tops, fabric for skirts, fabric for dresses, fabric for blouses, fabric for stoles, fabric for suits, fabric for designer fabric, 623219, Lame fabric",no ,in_stock,Published
Cotton Seersucker Stripes-337219,Cotton Seersucker Stripes,Plain ,44 Inches ,"Lightweight & soft/ Suitable for making shirts, dresses, skirts, tops, kids wear, cushions and more.
",100% Cotton ,Orange & White ,0.2,337219,220 Per Meter ,220,cotton>yarn-dyeds-checks-and-stripes | latest-fabrics | spring-summer,"Cotton seer sucker yarn dyed stripes fabric, ideal for making dresses, skirts, skirts, tops, westerns etc.

","Cotton seer sucker yarn dyed stripes fabric, made of 100% cotton on plain weave. Seersucker is a thin, puckered, all-cotton fabric, commonly striped or chequered, used to make clothing for spring and summer wear.

","337219-(4).jpg, 337219-(2).jpg, 337219-(3).jpg","yarndyed fabric, seersucket stripes, yarndyed stripes, cottonyarndyed, yarndyed cotton, cotton seersucker strioes, cotton yarndyed stripes, stripes, seersucker stripes, seersucker, fabric for kurtas, fabric for tops, fabric for shirts, fabric for skirts, fabric for dresses, fabric for tunic, fabric for tops, fabric for kids wear, fabric for kids dresses, fabric for pajamas, 337219",no ,in_stock,Published
