name,fabric_name,weave,width,weight_feel_suitability,content,design_name_color,shipping_weight,design_no,min_order_qty,max_order_qty,step,quantity,price_text,ragular_price,sale_price,categories,short_description,long_description,images,tags,manage_stock,stock,status
Printed Georgette-32S1F1,Printed Georgette,Plain,44 Inches,"Lightweight & semi sheer/ suitable for making sarees, suits, kurti, dupatta, stoles, kaftan, tops and more.",100% Polyester,Multicolour,0.15,32S1F1,1.2,1.2,0.1,1.2,110 per meter,110,88,cut-pieces,"Printed georgette fabric is suitable for making saree, suits, dresses, flowy gowns, kaftan, tops, skirts, stoles, palazzo and more.","Printed georgette fabric is a polyester based sheer fabric on plain weave. Georgette is known for its lightweight, sheer and wrinkle free quality. Georgette cloth is woven in highly twisted yarns, which makes it slightly rough to the touch. Suitable for making dresses.","32S1F1-(4).jpg, 32S1F1-(2).jpg, 32S1F1-(3).jpg","georgette fabrics, printed georgette, georgette prints, polyesters, poly georgette fabrics, polyester georgette fabrics, fabric for dresses, fabric for tops, fabric for dresses, fabric for suits, snake prints, animal skin prints, cutpieces, multicolour",yes,in_stock,published 
Printed Summer Cool Georgette-32S1F2,Summer Cool Georgette,Plain,44 Inches,"Heavy Georgette & textured/ Used for making dresses, skirts, blouses, tops, kurtis, kaftan etc.",100% Polyester,Multicolour,0.2,32S1F2,2.3,2.3,0.1,2.3,150 per meter,150,120,cut-pieces,"Printed summer cool georgette fabric, suitable for making dresses, skirts, tops, kurtis, kaftan, blouses, saree, dupatta, palazzo etc.","Summer Cool georgette fabric is a polyester based heavy georgette fabric on plain weave. Summer cool georgette is well known for its texture and for nice quality, known as poly moss. It is used for designing and making dresses.
","32S1F2-(4).jpg, 32S1F2-(2).jpg, 32S1F2-(3).jpg","georgette fabrics, printed georgette, georgette prints, polyesters, poly georgette fabrics, polyester georgette fabrics, heavy georgette, poly moss, fabric for dresses, fabric for tops, fabric for dresses, fabric for suits, cut pieces, cutpieces, multicolour",yes,in_stock,published 
Printed Georgette-32S1F3,Printed Georgette,Plain,44 Inches,"Lightweight & semi sheer/ suitable for making sarees, suits, kurti, dupatta, stoles, kaftan, tops and more.",100% Polyester,Multicolour,0.15,32S1F3,3.5,3.5,0.1,3.5,110 per meter,110,88,cut-pieces,"Printed georgette fabric is suitable for making saree, suits, dresses, flowy gowns, kaftan, tops, skirts, stoles, palazzo and more.","Printed georgette fabric is a polyester based sheer fabric on plain weave. Georgette is known for its lightweight, sheer and wrinkle free quality. Georgette cloth is woven in highly twisted yarns, which makes it slightly rough to the touch. Suitable for making dresses.","32S1F3-(4).jpg, 32S1F3-(2).jpg, 32S1F3-(3).jpg","georgette fabrics, printed georgette, georgette prints, polyesters, poly georgette fabrics, polyester georgette fabrics, fabric for dresses, fabric for tops, fabric for dresses, fabric for suits, cut pieces, cutpieces, multicolour",yes,in_stock,published 
Printed Georgette-32S1F4,Printed Georgette,Plain,44 Inches,"Lightweight & semi sheer/ suitable for making sarees, suits, kurti, dupatta, stoles, kaftan, tops and more.",100% Polyester,Light Grey,0.15,32S1F4,3.65,3.65,0.1,3.65,110 per meter,110,88,cut-pieces,"Printed georgette fabric is suitable for making saree, suits, dresses, flowy gowns, kaftan, tops, skirts, stoles, palazzo and more.","Printed georgette fabric is a polyester based sheer fabric on plain weave. Georgette is known for its lightweight, sheer and wrinkle free quality. Georgette cloth is woven in highly twisted yarns, which makes it slightly rough to the touch. Suitable for making dresses.","32S1F4-(4).jpg, 32S1F4-(2).jpg, 32S1F4-(3).jpg","georgette fabrics, printed georgette, georgette prints, polyesters, poly georgette fabrics, polyester georgette fabrics, fabric for dresses, fabric for tops, fabric for dresses, fabric for suits, cut pieces, cutpieces, light grey",yes,in_stock,published 
Printed Georgette-32S1F5,Printed Georgette,Plain,44 Inches,"Lightweight & semi sheer/ suitable for making sarees, suits, kurti, dupatta, stoles, kaftan, tops and more.",100% Polyester,Dark Blue,0.15,32S1F5,4.2,4.2,0.1,4.2,110 per meter,110,88,cut-pieces,"Printed georgette fabric is suitable for making saree, suits, dresses, flowy gowns, kaftan, tops, skirts, stoles, palazzo and more.","Printed georgette fabric is a polyester based sheer fabric on plain weave. Georgette is known for its lightweight, sheer and wrinkle free quality. Georgette cloth is woven in highly twisted yarns, which makes it slightly rough to the touch. Suitable for making dresses.","32S1F5-(4).jpg, 32S1F5-(2).jpg, 32S1F5-(3).jpg","georgette fabrics, printed georgette, georgette prints, polyesters, poly georgette fabrics, polyester georgette fabrics, fabric for dresses, fabric for tops, fabric for dresses, fabric for suits, cut pieces, cutpieces, dark blue",yes,in_stock,published 
Printed Georgette-32S1F6,Printed Georgette,Plain,44 Inches,"Lightweight & semi sheer/ suitable for making sarees, suits, kurti, dupatta, stoles, kaftan, tops and more.",100% Polyester,Dark Blue,0.15,32S1F6,3.5,3.5,0.1,3.5,110 per meter,110,88,cut-pieces,"Printed georgette fabric is suitable for making saree, suits, dresses, flowy gowns, kaftan, tops, skirts, stoles, palazzo and more.","Printed georgette fabric is a polyester based sheer fabric on plain weave. Georgette is known for its lightweight, sheer and wrinkle free quality. Georgette cloth is woven in highly twisted yarns, which makes it slightly rough to the touch. Suitable for making dresses.","32S1F6-(4).jpg, 32S1F6-(2).jpg, 32S1F6-(3).jpg","georgette fabrics, printed georgette, georgette prints, polyesters, poly georgette fabrics, polyester georgette fabrics, fabric for dresses, fabric for tops, fabric for dresses, fabric for suits, cut pieces, cutpieces, dark blue",yes,in_stock,published 
Printed Summer Cool Georgette-32S1F7,Summer Cool Georgette,Plain,44 Inches,"Heavy Georgette & textured/ Used for making dresses, skirts, blouses, tops, kurtis, kaftan etc.",100% Polyester,Yellow & White,0.2,32S1F7,1.7,1.7,0.1,1.7,150 per meter,150,120,cut-pieces,"Printed summer cool georgette fabric, suitable for making dresses, skirts, tops, kurtis, kaftan, blouses, saree, dupatta, palazzo etc.","Summer Cool georgette fabric is a polyester based heavy georgette fabric on plain weave. Summer cool georgette is well known for its texture and for nice quality, known as poly moss. It is used for designing and making dresses.
","32S1F7-(4).jpg, 32S1F7-(2).jpg, 32S1F7-(3).jpg","georgette fabrics, printed georgette, georgette prints, polyesters, poly georgette fabrics, polyester georgette fabrics, heavy georgette, poly moss, fabric for dresses, fabric for tops, fabric for dresses, fabric for suits, cut pieces, cutpieces, yellow, white",yes,in_stock,published 
Printed Georgette-32S1F8,Printed Georgette,Plain,44 Inches,"Lightweight & semi sheer/ suitable for making sarees, suits, kurti, dupatta, stoles, kaftan, tops and more.",100% Polyester,Multicolour,0.15,32S1F8,3.5,3.5,0.1,3.5,110 per meter,110,88,cut-pieces,"Printed georgette fabric is suitable for making saree, suits, dresses, flowy gowns, kaftan, tops, skirts, stoles, palazzo and more.","Printed georgette fabric is a polyester based sheer fabric on plain weave. Georgette is known for its lightweight, sheer and wrinkle free quality. Georgette cloth is woven in highly twisted yarns, which makes it slightly rough to the touch. Suitable for making dresses.","32S1F8-(4).jpg, 32S1F8-(2).jpg, 32S1F8-(3).jpg","georgette fabrics, printed georgette, georgette prints, polyesters, poly georgette fabrics, polyester georgette fabrics, fabric for dresses, fabric for tops, fabric for dresses, fabric for suits, cut pieces, cutpieces, multicolour",yes,in_stock,published 
Printed Georgette-32S1F9,Printed Georgette,Plain,44 Inches,"Lightweight & semi sheer/ suitable for making sarees, suits, kurti, dupatta, stoles, kaftan, tops and more.",100% Polyester,Dark Blue,0.15,32S1F9,3.5,3.5,0.1,3.5,110 per meter,110,88,cut-pieces,"Printed georgette fabric is suitable for making saree, suits, dresses, flowy gowns, kaftan, tops, skirts, stoles, palazzo and more.","Printed georgette fabric is a polyester based sheer fabric on plain weave. Georgette is known for its lightweight, sheer and wrinkle free quality. Georgette cloth is woven in highly twisted yarns, which makes it slightly rough to the touch. Suitable for making dresses.","32S1F9-(4).jpg, 32S1F9-(2).jpg, 32S1F9-(3).jpg","georgette fabrics, printed georgette, georgette prints, polyesters, poly georgette fabrics, polyester georgette fabrics, fabric for dresses, fabric for tops, fabric for dresses, fabric for suits, cut pieces, cutpieces, multicolour",yes,in_stock,published 
Printed Georgette-32S1F10,Printed Georgette,Plain,44 Inches,"Lightweight & semi sheer/ suitable for making sarees, suits, kurti, dupatta, stoles, kaftan, tops and more.",100% Polyester,Black,0.15,32S1F10,1.5,1.5,0.1,1.5,110 per meter,110,88,cut-pieces,"Printed georgette fabric is suitable for making saree, suits, dresses, flowy gowns, kaftan, tops, skirts, stoles, palazzo and more.","Printed georgette fabric is a polyester based sheer fabric on plain weave. Georgette is known for its lightweight, sheer and wrinkle free quality. Georgette cloth is woven in highly twisted yarns, which makes it slightly rough to the touch. Suitable for making dresses.","32S1F10-(4).jpg, 32S1F10-(2).jpg, 32S1F10-(3).jpg","georgette fabrics, printed georgette, georgette prints, polyesters, poly georgette fabrics, polyester georgette fabrics, fabric for dresses, fabric for tops, fabric for dresses, fabric for suits, cut pieces, cutpieces, multicolour",yes,in_stock,published 
